INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,CASRN,INCHIKEY,SMILES,INCHI_STRING,DTXCID
1300-72-7,CASRN,DTXSID3026302,Sodium xylenesulfonate,1300-72-7,N/A,"C*.C*.OS(=O)(=O)C1=CC=CC=C1 |c:8,10,t:6,lp:4:2,6:2,7:2,m:1:9.10,3:10.11.12.13|",N/A,DTXCID801323366
5538-41-0,CASRN,DTXSID5063946,"Phenol, 2-chloro-3,5-dimethyl-",5538-41-0,ZXPLGLMEXWSLCX-UHFFFAOYSA-N,CC1=CC(O)=C(Cl)C(C)=C1,"InChI=1S/C8H9ClO/c1-5-3-6(2)8(9)7(10)4-5/h3-4,10H,1-2H3
",DTXCID7041881
62435-71-6,CASRN,DTXSID00886169,"Furan, 2-(ethoxymethyl)tetrahydro-",62435-71-6,VUFKMYLDDDNUJS-UHFFFAOYSA-N,CCOCC1CCCO1,"InChI=1/C7H14O2/c1-2-8-6-7-4-3-5-9-7/h7H,2-6H2,1H3
",DTXCID801025510
9002-92-0,CASRN - WARNING: Synonym mapped to two or more chemicals,DTXSID2025218,Polyoxyethylene dodecyl mono ether,9002-92-0,N/A,"CCCCCCCCCCCCOCCO |lp:12:2,15:2,Sg:n:14,13,12::ht|","InChI=1S/C14H30O2/c1-2-3-4-5-6-7-8-9-10-11-13-16-14-12-15/h15H,2-14H2,1H3
",DTXCID501765599
9002-92-0,Integrated Source CAS-RN - WARNING: Synonym mapped to two or more chemicals,DTXSID3063752,Tetraethylene glycol monododecyl ether,5274-68-0,WPMWEFXCIYCJSA-UHFFFAOYSA-N,CCCCCCCCCCCCOCCOCCOCCOCCO,"InChI=1S/C20H42O5/c1-2-3-4-5-6-7-8-9-10-11-13-22-15-17-24-19-20-25-18-16-23-14-12-21/h21H,2-20H2,1H3
",DTXCID9041283
109-73-9,CASRN,DTXSID1021904,Butylamine,109-73-9,HQABUPZFAYXKJW-UHFFFAOYSA-N,CCCCN,"InChI=1S/C4H11N/c1-2-3-4-5/h2-5H2,1H3
",DTXCID501904
4156-21-2,CASRN,DTXSID4063325,"Sodium p-((4,6-dichloro-1,3,5-triazin-2-yl)amino)benzenesulphonate",4156-21-2,BAINTIMFWTXLNC-UHFFFAOYSA-M,[Na+].[O-]S(=O)(=O)C1=CC=C(NC2=NC(Cl)=NC(Cl)=N2)C=C1,"InChI=1S/C9H6Cl2N4O3S.Na/c10-7-13-8(11)15-9(14-7)12-5-1-3-6(4-2-5)19(16,17)18;/h1-4H,(H,16,17,18)(H,12,13,14,15);/q;+1/p-1
",DTXCID9039945
14024-48-7,CASRN,DTXSID50893247,Cobalt(II) bis(acetylacetonate),14024-48-7,BKFAZDGHFACXKY-UHFFFAOYSA-N,CC1=[O][Co++]2([O]=C(C)[CH-]1)[O]=C(C)[CH-]C(C)=[O]2,"InChI=1S/2C5H7O2.Co/c2*1-4(6)3-5(2)7;/h2*3H,1-2H3;/q2*-1;+2
",DTXCID801323180
16891-37-5,CASRN,DTXSID50893444,Magnesium ethyl carbonate,16891-37-5,HONQAQNYJBKAMA-UHFFFAOYSA-L,[Mg++].CCOC([O-])=O.CCOC([O-])=O,"InChI=1S/2C3H6O3.Mg/c2*1-2-6-3(4)5;/h2*2H2,1H3,(H,4,5);/q;;+2/p-2
",DTXCID001323455
37971-36-1,CASRN,DTXSID4027999,"2-Phosphono-1,2,4-butanetricarboxylic acid",37971-36-1,SZHQPBJEOCHCKM-UHFFFAOYSA-N,OC(=O)CCC(CC(O)=O)(C(O)=O)P(O)(O)=O,"InChI=1/C7H11O9P/c8-4(9)1-2-7(6(12)13,3-5(10)11)17(14,15)16/h1-3H2,(H,8,9)(H,10,11)(H,12,13)(H2,14,15,16)
",DTXCID807999
92585-24-5,CASRN,DTXSID1052616,2-Methyl-4-phenylpentanol,92585-24-5,SXGYZCMGVZKIPJ-UHFFFAOYSA-N,CC(CO)CC(C)C1=CC=CC=C1,"InChI=1/C12H18O/c1-10(9-13)8-11(2)12-6-4-3-5-7-12/h3-7,10-11,13H,8-9H2,1-2H3
",DTXCID5031189
30007-47-7,CASRN,DTXSID1044560,"5-Bromo-5-nitro-1,3-dioxane",30007-47-7,XVBRCOKDZVQYAY-UHFFFAOYSA-N,[O-][N+](=O)C1(Br)COCOC1,"InChI=1S/C4H6BrNO4/c5-4(6(7)8)1-9-3-10-2-4/h1-3H2
",DTXCID9024560
1369773-39-6,CASRN,DTXSID601032228,Sacubitril calcium,1369773-39-6,DDLCKLBRBPYKQS-OXXXZDCLSA-L,[Ca++].CCOC(=O)[C@H](C)C[C@@H](CC1=CC=C(C=C1)C1=CC=CC=C1)NC(=O)CCC([O-])=O.CCOC(=O)[C@H](C)C[C@@H](CC1=CC=C(C=C1)C1=CC=CC=C1)NC(=O)CCC([O-])=O,"InChI=1S/2C24H29NO5.Ca/c2*1-3-30-24(29)17(2)15-21(25-22(26)13-14-23(27)28)16-18-9-11-20(12-10-18)19-7-5-4-6-8-19;/h2*4-12,17,21H,3,13-16H2,1-2H3,(H,25,26)(H,27,28);/q;;+2/p-2/t2*17-,21+;/m11./s1
",DTXCID301765898
89957-99-3,CASRN,DTXSID901063266,"Boswellia papyrifera, ext.",89957-99-3,N/A,N/A,N/A,N/A
84962-20-9,CASRN,DTXSID901045010,"Phosphoric acid, mixed esters with Bu alc. and ethylene glycol",84962-20-9,N/A,N/A,N/A,N/A
85116-58-1,CASRN,DTXSID701027375,"Distillates (petroleum), catalytic reformed hydrotreated light, C8-12 arom. fraction RN: 85116-58-1",85116-58-1,N/A,N/A,N/A,N/A
107-15-3,CASRN,DTXSID5021881,Ethylenediamine,107-15-3,PIICEJLVQHRZGT-UHFFFAOYSA-N,NCCN,"InChI=1S/C2H8N2/c3-1-2-4/h1-4H2
",DTXCID501881
557-34-6,CASRN,DTXSID8038770,Zinc acetate,557-34-6,DJWUNCQRNNEAKC-UHFFFAOYSA-L,[Zn++].CC([O-])=O.CC([O-])=O,"InChI=1S/2C2H4O2.Zn/c2*1-2(3)4;/h2*1H3,(H,3,4);/q;;+2/p-2
",DTXCID6018770
268567-32-4,CASRN,DTXSID60870302,"Propanoic acid, 3-[[bis(2-methylpropoxy)phosphinothioyl]thio]-2-methyl-",268567-32-4,NPRQLWMILWHEDI-UHFFFAOYSA-N,CC(C)COP(=S)(OCC(C)C)SCC(C)C(O)=O,"InChI=1/C12H25O4PS2/c1-9(2)6-15-17(18,16-7-10(3)4)19-8-11(5)12(13)14/h9-11H,6-8H2,1-5H3,(H,13,14)
",DTXCID10818057
7778-80-5,CASRN,DTXSID6029701,Potassium sulfate,7778-80-5,OTYBMLCTZGSZBG-UHFFFAOYSA-L,[K+].[K+].[O-]S([O-])(=O)=O,"InChI=1S/2K.H2O4S/c;;1-5(2,3)4/h;;(H2,1,2,3,4)/q2*+1;/p-2
",DTXCID709701
521284-22-0,CASRN,DTXSID901045084,"Benzenemethanol, alpha-[[[2-(4-aminophenyl)ethyl]amino]methyl]-, hydrochloride (1:1), (alphaR)-",521284-22-0,QILVTBCJVNFIDP-RDZNSINMNA-N,Cl.NC1=CC=C(CCNC[C@H](O)C2=CC=CC=C2)C=C1,"InChI=1/C16H20N2O.ClH/c17-15-8-6-13(7-9-15)10-11-18-12-16(19)14-4-2-1-3-5-14;/h1-9,16,18-19H,10-12,17H2;1H/t16-;/s2
",DTXCID001527005
123439-82-7,CASRN,DTXSID10893228,Tetraammineplatinum(2+) bis(bicarbonate),123439-82-7,IXGOCCWMKLVVSM-UHFFFAOYSA-L,N.N.N.N.[Pt++].OC([O-])=O.OC([O-])=O,"InChI=1S/2CH2O3.4H3N.Pt/c2*2-1(3)4;;;;;/h2*(H2,2,3,4);4*1H3;/q;;;;;;+2/p-2
",DTXCID001323162
159325-45-8,CASRN,DTXSID60717849,"(2alpha,3alpha,8xi,9xi,14xi,16beta)-16-(Pyrrolidin-1-yl)-2,3-epoxyandrostan-17-one",159325-45-8,ZZMJTNMGPPBIOY-AKQZMSGPSA-N,C[C@]12CCC3C(CCC4C[C@@H]5O[C@@H]5C[C@]34C)C1C[C@H](N1CCCC1)C2=O,"InChI=1S/C23H35NO2/c1-22-8-7-16-15(6-5-14-11-19-20(26-19)13-23(14,16)2)17(22)12-18(21(22)25)24-9-3-4-10-24/h14-20H,3-13H2,1-2H3/t14?,15?,16?,17?,18-,19-,20+,22-,23-/m0/s1
",DTXCID70668595
40150-92-3,CASRN,DTXSID80960592,1-[4-(2-Methylpropyl)phenyl]ethan-1-ol,40150-92-3,VLVILBSSXMZZCB-UHFFFAOYSA-N,CC(C)CC1=CC=C(C=C1)C(C)O,"InChI=1/C12H18O/c1-9(2)8-11-4-6-12(7-5-11)10(3)13/h4-7,9-10,13H,8H2,1-3H3
",DTXCID701388440
815676-09-6,CASRN,DTXSID101019603,4-({5-Cyano-4-methyl-6-[(4-sulfophenyl)amino]pyridin-2-yl}amino)benzene-1-sulfonic acid,815676-09-6,YQJYCEVUCKFIOB-UHFFFAOYSA-N,CC1=CC(NC2=CC=C(C=C2)S(O)(=O)=O)=NC(NC2=CC=C(C=C2)S(O)(=O)=O)=C1C#N,"InChI=1S/C19H16N4O6S2/c1-12-10-18(21-13-2-6-15(7-3-13)30(24,25)26)23-19(17(12)11-20)22-14-4-8-16(9-5-14)31(27,28)29/h2-10H,1H3,(H2,21,22,23)(H,24,25,26)(H,27,28,29)
",DTXCID301477548
1344-09-8,CASRN,DTXSID9029647,Sodium silicate,1344-09-8,N/A,N/A,N/A,N/A
97780-06-8,CASRN,DTXSID9034573,Ethametsulfuron-methyl,97780-06-8,ZINJLDJMHCUBIP-UHFFFAOYSA-N,CCOC1=NC(NC)=NC(NC(=O)NS(=O)(=O)C2=C(C=CC=C2)C(=O)OC)=N1,"InChI=1S/C15H18N6O6S/c1-4-27-15-19-12(16-2)17-13(20-15)18-14(23)21-28(24,25)10-8-6-5-7-9(10)11(22)26-3/h5-8H,4H2,1-3H3,(H3,16,17,18,19,20,21,23)
",DTXCID7014573
12054-48-7,CASRN,DTXSID90274011,Nickel hydroxide (Ni(OH)2),12054-48-7,BFDHFSHZJLFAMC-UHFFFAOYSA-L,[OH-].[OH-].[Ni++],"InChI=1S/Ni.2H2O/h;2*1H2/q+2;;/p-2
",DTXCID00196497
15687-27-1,CASRN,DTXSID5020732,Ibuprofen,15687-27-1,HEFNNWSXXWATRW-UHFFFAOYSA-N,CC(C)CC1=CC=C(C=C1)C(C)C(O)=O,"InChI=1/C13H18O2/c1-9(2)8-11-4-6-12(7-5-11)10(3)13(14)15/h4-7,9-10H,8H2,1-3H3,(H,14,15)
",DTXCID90732
66654-01-1,CASRN,DTXSID40726858,N-[3-(Dimethylamino)propyl]undec-10-enamide,66654-01-1,AYGYDSKVANLUER-UHFFFAOYSA-N,CN(C)CCCNC(=O)CCCCCCCCC=C,"InChI=1S/C16H32N2O/c1-4-5-6-7-8-9-10-11-13-16(19)17-14-12-15-18(2)3/h4H,1,5-15H2,2-3H3,(H,17,19)
",DTXCID30677603
301341-58-2,CASRN,DTXSID801020215,"Fatty acids, coco derivs., reaction products with Glycine, Potassium salts",301341-58-2,N/A,N/A,N/A,N/A
84592-32-5,CASRN,DTXSID301335156,"[5-(4-Hydroxy-2,6,6-trimethyl-3-oxo-1-cyclohexen-1-yl)-3-methyl-2,4-pentadien-1-yl]triphenylphosphonium bromide (1:1)",84592-32-5,YLJIAWIWLCACLS-UHFFFAOYNA-M,[Br-].CC(=CC[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)C=CC1=C(C)C(=O)C(O)CC1(C)C,"InChI=1/C33H36O2P.BrH/c1-25(20-21-30-26(2)32(35)31(34)24-33(30,3)4)22-23-36(27-14-8-5-9-15-27,28-16-10-6-11-17-28)29-18-12-7-13-19-29;/h5-22,31,34H,23-24H2,1-4H3;1H/q+1;/p-1
",DTXCID501764872
502-97-6,CASRN,DTXSID8060115,"1,4-Dioxane-2,5-dione",502-97-6,RKDVKSZUMVYZHH-UHFFFAOYSA-N,O=C1COC(=O)CO1,"InChI=1S/C4H4O4/c5-3-1-7-4(6)2-8-3/h1-2H2
",DTXCID1040790
5153-24-2,CASRN,DTXSID60894023,Bis(acetato)oxozirconium,5153-24-2,ZBJPXIYVKXSUKO-UHFFFAOYSA-L,CC(=O)O[Zr](=O)OC(C)=O,"InChI=1S/2C2H4O2.O.Zr/c2*1-2(3)4;;/h2*1H3,(H,3,4);;/q;;;+2/p-2
",DTXCID9024984
5343-92-0,CASRN,DTXSID10863522,"1,​2-​Pentanediol",5343-92-0,WCVRQHFDJLLWFE-UHFFFAOYSA-N,CCCC(O)CO,"InChI=1/C5H12O2/c1-2-3-5(7)4-6/h5-7H,2-4H2,1H3
",DTXCID80812123
1774-47-6,CASRN,DTXSID001014581,Trimethyloxosulphonium iodide,1774-47-6,BPLKQGGAXWRFOE-UHFFFAOYSA-M,[I-].C[S+](C)(C)=O,"InChI=1S/C3H9OS.HI/c1-5(2,3)4;/h1-3H3;1H/q+1;/p-1
",DTXCID001437145
1761-71-3,CASRN,DTXSID0024921,"4,4'-Diaminodicyclohexylmethane",1761-71-3,DZIHTWJGPDVSGE-UHFFFAOYSA-N,NC1CCC(CC2CCC(N)CC2)CC1,"InChI=1S/C13H26N2/c14-12-5-1-10(2-6-12)9-11-3-7-13(15)8-4-11/h10-13H,1-9,14-15H2
",DTXCID204921
22256-71-9,CASRN,DTXSID10895000,Dicyclohexylamine oleate,22256-71-9,AYTIAPQIRMHXML-KVVVOXFISA-N,C1CCC(CC1)NC1CCCCC1.CCCCCCCC\C=C/CCCCCCCC(O)=O,"InChI=1S/C18H34O2.C12H23N/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20;1-3-7-11(8-4-1)13-12-9-5-2-6-10-12/h9-10H,2-8,11-17H2,1H3,(H,19,20);11-13H,1-10H2/b10-9-;
",DTXCID301324557
110-62-3,CASRN,DTXSID7021653,Pentanal,110-62-3,HGBOYTHUEUWSSQ-UHFFFAOYSA-N,CCCCC=O,"InChI=1S/C5H10O/c1-2-3-4-5-6/h5H,2-4H2,1H3
",DTXCID001653
105-06-6,CASRN,DTXSID2033863,"1,4-Divinylbenzene",105-06-6,WEERVPDNCOGWJF-UHFFFAOYSA-N,C=CC1=CC=C(C=C)C=C1,"InChI=1S/C10H10/c1-3-9-5-7-10(4-2)8-6-9/h3-8H,1-2H2
",DTXCID0013863
1314-98-3,CASRN,DTXSID7042518,Zinc sulfide,1314-98-3,DRDVZXDWVBGGMH-UHFFFAOYSA-N,[S--].[Zn++],"InChI=1S/S.Zn/q-2;+2
",DTXCID201012143
79-22-1,CASRN,DTXSID0024185,Methyl chlorocarbonate,79-22-1,XMJHPCRAQCTCFT-UHFFFAOYSA-N,COC(Cl)=O,"InChI=1S/C2H3ClO2/c1-5-2(3)4/h1H3
",DTXCID004185
91995-50-5,CASRN,DTXSID701029402,"Distillates (petroleum), naphtha steam cracking-derived, hydrotreated light arom.",91995-50-5,N/A,N/A,N/A,N/A
107-18-6,CASRN,DTXSID8020044,Allyl alcohol,107-18-6,XXROGKLTLUQVRX-UHFFFAOYSA-N,OCC=C,"InChI=1S/C3H6O/c1-2-3-4/h2,4H,1,3H2
",DTXCID2044
117-34-0,CASRN,DTXSID0059453,"Benzeneacetic acid, .alpha.-phenyl-",117-34-0,PYHXGXCGESYPCW-UHFFFAOYSA-N,OC(=O)C(C1=CC=CC=C1)C1=CC=CC=C1,"InChI=1S/C14H12O2/c15-14(16)13(11-7-3-1-4-8-11)12-9-5-2-6-10-12/h1-10,13H,(H,15,16)
",DTXCID9033399
53786-28-0,CASRN,DTXSID4057764,5-Chloro-1-(4-piperidyl)-1H-benzimidazol-2(3H)-one,53786-28-0,DOAYWDKFDPSTSV-UHFFFAOYSA-N,ClC1=CC2=C(C=C1)N(C1CCNCC1)C(=O)N2,"InChI=1S/C12H14ClN3O/c13-8-1-2-11-10(7-8)15-12(17)16(11)9-3-5-14-6-4-9/h1-2,7,9,14H,3-6H2,(H,15,17)
",DTXCID5031553
88419-56-1,CASRN,DTXSID00237036,"2,4,5-Trifluorobenzoyl chloride",88419-56-1,STBGCAUUOPNJBH-UHFFFAOYSA-N,FC1=CC(F)=C(F)C=C1C(Cl)=O,"InChI=1S/C7H2ClF3O/c8-7(12)3-1-5(10)6(11)2-4(3)9/h1-2H
",DTXCID00159527
75-52-5,CASRN,DTXSID2020977,Nitromethane,75-52-5,LYGJENNIWJXYER-UHFFFAOYSA-N,C[N+]([O-])=O,"InChI=1S/CH3NO2/c1-2(3)4/h1H3
",DTXCID40977
68457-79-4,CASRN,DTXSID2028513,"Phosphorodithioic acid, mixed O,O-bis(iso-Bu and pentyl) esters, zinc salts",68457-79-4,N/A,N/A,N/A,N/A
84776-27-2,CASRN,DTXSID901036493,"Cinchona officinalis, ext.",84776-27-2,N/A,N/A,N/A,N/A
1559-35-9,CASRN,DTXSID1041920,2-(2-Ethylhexyloxy)ethanol,1559-35-9,OHJYHAOODFPJOD-UHFFFAOYSA-N,CCCCC(CC)COCCO,"InChI=1/C10H22O2/c1-3-5-6-10(4-2)9-12-8-7-11/h10-11H,3-9H2,1-2H3
",DTXCID9021920
147126-62-3,CASRN,DTXSID90933035,"5-Methyl-2-(propan-2-yl)cyclohexyl 5-hydroxy-1,3-oxathiolane-2-carboxylate",147126-62-3,KXKDZLRTIFHOHW-CYRBOEJBSA-N,[H][C@]1(O)CS[C@@]([H])(O1)C(=O)O[C@]1([H])C[C@]([H])(C)CC[C@@]1([H])C(C)C,"InChI=1S/C14H24O4S/c1-8(2)10-5-4-9(3)6-11(10)17-13(16)14-18-12(15)7-19-14/h8-12,14-15H,4-7H2,1-3H3/t9-,10+,11-,12-,14-/m1/s1
",DTXCID701361709
1271-19-8,CASRN,DTXSID3021354,Titanocene dichloride,1271-19-8,N/A,Cl[Ti]Cl.c1cccc1.c1cccc1,N/A,DTXCID801765762
10361-44-1,CASRN,DTXSID30883121,Bismuth nitrate,10361-44-1,PPNKDDZCLDMRHS-UHFFFAOYSA-N,[Bi+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O,"InChI=1S/Bi.3NO3/c;3*2-1(3)4/q+3;3*-1
",DTXCID401022695
71-48-7,CASRN,DTXSID6026373,Cobalt(II) acetate,71-48-7,QAHREYKOYSIQPH-UHFFFAOYSA-L,[Co++].CC([O-])=O.CC([O-])=O,"InChI=1S/2C2H4O2.Co/c2*1-2(3)4;/h2*1H3,(H,3,4);/q;;+2/p-2
",DTXCID506373
1471311-93-9,CASRN,DTXSID401074222,"2,5-Furandione, reaction products with 2-ethyl-1-hexanamine and triethanolamine",1471311-93-9,N/A,N/A,N/A,N/A
109-52-4,CASRN,DTXSID7021655,Pentanoic acid,109-52-4,NQPDZGIKBAWPEJ-UHFFFAOYSA-N,CCCCC(O)=O,"InChI=1S/C5H10O2/c1-2-3-4-5(6)7/h2-4H2,1H3,(H,6,7)
",DTXCID801655
95371-11-2,CASRN,DTXSID301066131,"Animal fats, sulfonated, sodium salts",95371-11-2,N/A,N/A,N/A,N/A
75-85-4,CASRN,DTXSID0041436,2-Methyl-2-butanol,75-85-4,MSXVEPNJUHWQHW-UHFFFAOYSA-N,CCC(C)(C)O,"InChI=1S/C5H12O/c1-4-5(2,3)6/h6H,4H2,1-3H3
",DTXCID8021436
105812-81-5,CASRN,DTXSID90909750,(-)-Paroxol,105812-81-5,CXRHUYYZISIIMT-AAEUAGOBSA-O,[H][C@@]1(CO)C[NH+](C)CC[C@@]1([H])C1=CC=C(F)C=C1,"InChI=1S/C13H18FNO/c1-15-7-6-13(11(8-15)9-16)10-2-4-12(14)5-3-10/h2-5,11,13,16H,6-9H2,1H3/p+1/t11-,13-/m0/s1
",DTXCID401338810
84144-87-6,CASRN,DTXSID601045009,"Ashes (residues), vanadium-contg.",84144-87-6,N/A,N/A,N/A,N/A
98-67-9,CASRN,DTXSID1046421,4-Hydroxyphenylsulfonic acid,98-67-9,FEPBITJSIHRMRT-UHFFFAOYSA-N,OC1=CC=C(C=C1)S(O)(=O)=O,"InChI=1S/C6H6O4S/c7-5-1-3-6(4-2-5)11(8,9)10/h1-4,7H,(H,8,9,10)
",DTXCID9026421
409071-16-5,CASRN,DTXSID001026445,"Lithium;2,2-difluoro-1,3-dioxa-2-boranuidacyclopentane-4,5-dione",409071-16-5,MEDDCIKGDMDORY-UHFFFAOYSA-N,[Li+].F[B-]1(F)OC(=O)C(=O)O1,"InChI=1S/C2BF2O4.Li/c4-3(5)8-1(6)2(7)9-3;/q-1;+1
",DTXCID401510636
1910-42-5,Integrated Source CAS-RN - WARNING: Synonym mapped to two or more chemicals,DTXSID3034799,Paraquat,4685-14-7,INFDPOAKFNIJBF-UHFFFAOYSA-N,C[N+]1=CC=C(C=C1)C1=CC=[N+](C)C=C1,"InChI=1S/C12H14N2/c1-13-7-3-11(4-8-13)12-5-9-14(2)10-6-12/h3-10H,1-2H3/q+2
",DTXCID1014799
1910-42-5,CASRN - WARNING: Synonym mapped to two or more chemicals,DTXSID7024243,Paraquat dichloride,1910-42-5,FIKAKWIAUPDISJ-UHFFFAOYSA-L,[Cl-].[Cl-].C[N+]1=CC=C(C=C1)C1=CC=[N+](C)C=C1,"InChI=1S/C12H14N2.2ClH/c1-13-7-3-11(4-8-13)12-5-9-14(2)10-6-12;;/h3-10H,1-2H3;2*1H/q+2;;/p-2
",DTXCID204243
27253-30-1,CASRN,DTXSID1042100,Lithium neodecanoate,27253-30-1,IRMGLZUATCTOES-UHFFFAOYSA-M,[Li+].CCC(C)(CCC(C)C)C([O-])=O,"InChI=1/C10H20O2.Li/c1-5-10(4,9(11)12)7-6-8(2)3;/h8H,5-7H2,1-4H3,(H,11,12);/q;+1/p-1
",DTXCID9022100
2451-62-9,CASRN,DTXSID4026262,"Tris(2,3-epoxypropyl)isocyanurate",2451-62-9,OUPZKGBUJRBPGC-UHFFFAOYSA-N,O=C1N(CC2CO2)C(=O)N(CC2CO2)C(=O)N1CC1CO1,"InChI=1/C12H15N3O6/c16-10-13(1-7-4-19-7)11(17)15(3-9-6-21-9)12(18)14(10)2-8-5-20-8/h7-9H,1-6H2
",DTXCID606262
156487-12-6,CASRN,DTXSID10709239,"(4-Butoxy-2,3-difluorophenyl)boronic acid",156487-12-6,NVIGFYPVKZNNAZ-UHFFFAOYSA-N,CCCCOC1=C(F)C(F)=C(C=C1)B(O)O,"InChI=1S/C10H13BF2O3/c1-2-3-6-16-8-5-4-7(11(14)15)9(12)10(8)13/h4-5,14-15H,2-3,6H2,1H3
",DTXCID10659987
