INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,CASRN,INCHIKEY,SMILES,INCHI_STRING,DTXCID
16891-37-5,CASRN,DTXSID50893444,Magnesium ethyl carbonate,16891-37-5,HONQAQNYJBKAMA-UHFFFAOYSA-L,[Mg++].CCOC([O-])=O.CCOC([O-])=O,"InChI=1S/2C3H6O3.Mg/c2*1-2-6-3(4)5;/h2*2H2,1H3,(H,4,5);/q;;+2/p-2
",DTXCID001323455
85116-58-1,CASRN,DTXSID701027375,"Distillates (petroleum), catalytic reformed hydrotreated light, C8-12 arom. fraction RN: 85116-58-1",85116-58-1,N/A,N/A,N/A,N/A
29736-24-1,CASRN,DTXSID8074360,"Acetic acid, hydroxysulfo-, disodium salt",29736-24-1,AJXNWWLXMKDNHF-UHFFFAOYSA-L,[Na+].[Na+].OC(C([O-])=O)S([O-])(=O)=O,"InChI=1/C2H4O6S.2Na/c3-1(4)2(5)9(6,7)8;;/h2,5H,(H,3,4)(H,6,7,8);;/q;2*+1/p-2
",DTXCID9038058
68439-49-6,CASRN,DTXSID0041939,Ethoxylated C16-​18 alcohols,68439-49-6,N/A,N/A,N/A,N/A
7778-80-5,CASRN,DTXSID6029701,Potassium sulfate,7778-80-5,OTYBMLCTZGSZBG-UHFFFAOYSA-L,[K+].[K+].[O-]S([O-])(=O)=O,"InChI=1S/2K.H2O4S/c;;1-5(2,3)4/h;;(H2,1,2,3,4)/q2*+1;/p-2
",DTXCID709701
667-84-5,CASRN,DTXSID60862363,"N-(3-Ethoxypropyl)-2,4-dihydroxy-3,3-dimethylbutanamide",667-84-5,MRAMPOPITCOOIN-UHFFFAOYSA-N,CCOCCCNC(=O)C(O)C(C)(C)CO,"InChI=1/C11H23NO4/c1-4-16-7-5-6-12-10(15)9(14)11(2,3)8-13/h9,13-14H,4-8H2,1-3H3,(H,12,15)
",DTXCID90811142
521284-22-0,CASRN,DTXSID901045084,"Benzenemethanol, alpha-[[[2-(4-aminophenyl)ethyl]amino]methyl]-, hydrochloride (1:1), (alphaR)-",521284-22-0,QILVTBCJVNFIDP-RDZNSINMNA-N,Cl.NC1=CC=C(CCNC[C@H](O)C2=CC=CC=C2)C=C1,"InChI=1/C16H20N2O.ClH/c17-15-8-6-13(7-9-15)10-11-18-12-16(19)14-4-2-1-3-5-14;/h1-9,16,18-19H,10-12,17H2;1H/t16-;/s2
",DTXCID001527005
34454-97-2,CASRN,DTXSID0067848,2-(N-(Perfluorobutylsulfonyl)-N-methylamino)ethanol,34454-97-2,DSRUAYIFDCHEEV-UHFFFAOYSA-N,CN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C7H8F9NO3S/c1-17(2-3-18)21(19,20)7(15,16)5(10,11)4(8,9)6(12,13)14/h18H,2-3H2,1H3
",DTXCID8038857
666748-58-9,Searched by CASRN: Found 0 results,N/A,N/A,N/A,N/A,N/A,N/A,N/A
60924-38-1,CASRN,DTXSID40693410,Pleuromutilin-22-mesylate,60924-38-1,IKVZCNHNKCXZHZ-DUJSQGPWSA-N,C[C@@H]1CCC23CCC(=O)[C@H]2C1(C)[C@@H](C[C@@](C)(C=C)[C@@H](O)[C@@H]3C)OC(=O)COS(C)(=O)=O,"InChI=1S/C23H36O7S/c1-7-21(4)12-17(30-18(25)13-29-31(6,27)28)22(5)14(2)8-10-23(15(3)20(21)26)11-9-16(24)19(22)23/h7,14-15,17,19-20,26H,1,8-13H2,2-6H3/t14-,15+,17-,19+,20+,21-,22?,23?/m1/s1
",DTXCID90644159
15432-85-6,CASRN,DTXSID60872780,Sodium antimonate,15432-85-6,PTFQBEZVSZWZSG-UHFFFAOYSA-N,[Na+].O=[Sb-](=O)=O,"InChI=1S/Na.3O.Sb/q+1;;;;-1
",DTXCID00820366
34451-26-8,CASRN,DTXSID20379947,2-(Perfluorohexyl)ethanethiol,34451-26-8,GTPHVVCYEWPQFE-UHFFFAOYSA-N,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCS,"InChI=1S/C8H5F13S/c9-3(10,1-2-22)4(11,12)5(13,14)6(15,16)7(17,18)8(19,20)21/h22H,1-2H2
",DTXCID80330973
93-84-5,CASRN,DTXSID9059092,"2H-Benzimidazol-2-one, 1,3-dihydro-5-nitro-",93-84-5,DLJZIPVEVJOKHB-UHFFFAOYSA-N,[O-][N+](=O)C1=CC=C2NC(=O)NC2=C1,"InChI=1S/C7H5N3O3/c11-7-8-5-2-1-4(10(12)13)3-6(5)9-7/h1-3H,(H2,8,9,11)
",DTXCID0048842
1175612-76-6,CASRN,DTXSID701072463,"Hexanedioic acid, mixed benzyl and 2-(2-methoxyethoxy)ethyl diesters",1175612-76-6,N/A,N/A,N/A,N/A
126213-50-1,CASRN,DTXSID40888925,"Thieno[3,4-b]-1,4-dioxin, 2,3-dihydro-",126213-50-1,GKWLILHTTGWKLQ-UHFFFAOYSA-N,C1COC2=CSC=C2O1,"InChI=1S/C6H6O2S/c1-2-8-6-4-9-3-5(6)7-1/h3-4H,1-2H2
",DTXCID001028196
53201-62-0,CASRN,DTXSID701036304,"1,1′-(1,4-Phenylene) bis(4-hydroxybenzoate)",53201-62-0,WDNYOQDNYCWKPU-UHFFFAOYSA-N,OC1=CC=C(C=C1)C(=O)OC1=CC=C(OC(=O)C2=CC=C(O)C=C2)C=C1,"InChI=1S/C20H14O6/c21-15-5-1-13(2-6-15)19(23)25-17-9-11-18(12-10-17)26-20(24)14-3-7-16(22)8-4-14/h1-12,21-22H
",DTXCID101520507
1314-98-3,CASRN,DTXSID7042518,Zinc sulfide,1314-98-3,DRDVZXDWVBGGMH-UHFFFAOYSA-N,[S--].[Zn++],"InChI=1S/S.Zn/q-2;+2
",DTXCID201012143
91995-50-5,CASRN,DTXSID701029402,"Distillates (petroleum), naphtha steam cracking-derived, hydrotreated light arom.",91995-50-5,N/A,N/A,N/A,N/A
1182722-58-2,CASRN,DTXSID70677364,"3-[(3R)-3-Amino-1,2,3,4-tetrahydro-9H-carbazol-9-yl]propanoic acid",1182722-58-2,RRWZRHNYCZSEBR-SNVBAGLBSA-N,N[C@@H]1CCC2=C(C1)C1=CC=CC=C1N2CCC(O)=O,"InChI=1S/C15H18N2O2/c16-10-5-6-14-12(9-10)11-3-1-2-4-13(11)17(14)8-7-15(18)19/h1-4,10H,5-9,16H2,(H,18,19)/t10-/m1/s1
",DTXCID10628113
54660-00-3,CASRN,DTXSID2068971,"Pyrrolo[3,4-c]pyrrole-1,4-dione, 2,5-dihydro-3,6-diphenyl-",54660-00-3,UWHBZLMSPZBZHY-UHFFFAOYSA-N,O=C1NC(=C2C(=O)NC(=C12)C1=CC=CC=C1)C1=CC=CC=C1,"InChI=1S/C18H12N2O2/c21-17-13-14(16(20-17)12-9-5-2-6-10-12)18(22)19-15(13)11-7-3-1-4-8-11/h1-10H,(H,19,22)(H,20,21)
",DTXCID5041774
444065-11-6,CASRN,DTXSID401098783,"2,6-Bis(1,1-dimethylethyl)-4-methylcyclohexyl 5-[[[bis(2-ethoxy-2-oxoethyl)amino]carbonyl]oxy]-6-cyano-2-[4-(1,1-dimethylethyl)phenyl]-3H-pyrrolo[1,2-b][1,2,4]triazole-7-carboxylate",444065-11-6,BSFARPZVGXSFEA-UHFFFAOYNA-N,CCOC(=O)CN(CC(=O)OCC)C(=O)OC1=C(C#N)C(C(=O)OC2C(CC(C)CC2C(C)(C)C)C(C)(C)C)=C2NC(=NN12)C1=CC=C(C=C1)C(C)(C)C,"InChI=1/C41H57N5O8/c1-13-51-30(47)22-45(23-31(48)52-14-2)38(50)54-36-27(21-42)32(35-43-34(44-46(35)36)25-15-17-26(18-16-25)39(4,5)6)37(49)53-33-28(40(7,8)9)19-24(3)20-29(33)41(10,11)12/h15-18,24,28-29,33H,13-14,19-20,22-23H2,1-12H3,(H,43,44)
",DTXCID201530525
66402-68-4,CASRN,DTXSID0051235,"Ceramic materials and wares, chemicals",66402-68-4,N/A,N/A,N/A,N/A
95371-11-2,CASRN,DTXSID301066131,"Animal fats, sulfonated, sodium salts",95371-11-2,N/A,N/A,N/A,N/A
25485-88-5,CASRN,DTXSID2051928,Cyclohexyl 2-hydroxybenzoate,25485-88-5,NUQDJSMHGCTKNL-UHFFFAOYSA-N,OC1=C(C=CC=C1)C(=O)OC1CCCCC1,"InChI=1S/C13H16O3/c14-12-9-5-4-8-11(12)13(15)16-10-6-2-1-3-7-10/h4-5,8-10,14H,1-3,6-7H2
",DTXCID1030490
12060-58-1,CASRN,DTXSID4051611,Samarium(III) oxide,12060-58-1,PRCWVHVINXAFRG-UHFFFAOYSA-N,O=[Sm]O[Sm]=O,"InChI=1S/3O.2Sm
",DTXCID5030163
25340-17-4,CASRN,DTXSID4027866,Diethylbenzene,25340-17-4,N/A,"CC*.CCC1=CC=CC=C1 |c:6,8,t:4,m:2:6.7.8|",N/A,DTXCID001516799
05-12-4485,Searched by Synonym: Found 0 results,N/A,N/A,N/A,N/A,N/A,N/A,N/A
91770-57-9,CASRN,DTXSID501027412,"Residual oils (petroleum), catalytic dewaxed",91770-57-9,N/A,N/A,N/A,N/A
117-81-7,CASRN,DTXSID5020607,Di(2-ethylhexyl) phthalate,117-81-7,BJQHLKABXJIVAM-UHFFFAOYSA-N,CCCCC(CC)COC(=O)C1=C(C=CC=C1)C(=O)OCC(CC)CCCC,"InChI=1/C24H38O4/c1-5-9-13-19(7-3)17-27-23(25)21-15-11-12-16-22(21)24(26)28-18-20(8-4)14-10-6-2/h11-12,15-16,19-20H,5-10,13-14,17-18H2,1-4H3
",DTXCID70607
393-85-1,CASRN,DTXSID60408886,Methyl 5-fluoro-2-nitrobenzoate,393-85-1,LCAUVFVOLNRVKG-UHFFFAOYSA-N,COC(=O)C1=C(C=CC(F)=C1)[N+]([O-])=O,"InChI=1S/C8H6FNO4/c1-14-8(11)6-4-5(9)2-3-7(6)10(12)13/h2-4H,1H3
",DTXCID10359738
117172-56-2,CASRN,DTXSID201044966,"1-Propanethiol, 3-(trimethoxysilyl)-, adduct with 5-isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane (1:1)",117172-56-2,DIKKUIZXSGRVBH-UHFFFAOYNA-N,CO[Si](CCCS)(OC)OC.CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O,"InChI=1/C12H18N2O2.C6H16O3SSi/c1-11(2)4-10(14-9-16)5-12(3,6-11)7-13-8-15;1-7-11(8-2,9-3)6-4-5-10/h10H,4-7H2,1-3H3;10H,4-6H2,1-3H3
",DTXCID201526922
94114-03-1,CASRN,DTXSID701027351,"Gasoline, pyrolysis, hydrogenated",94114-03-1,N/A,N/A,N/A,N/A
93924-32-4,CASRN,DTXSID001027312,"Foots oil (petroleum), clay-treated",93924-32-4,N/A,N/A,N/A,N/A
16291-96-6,CASRN,DTXSID2051217,Charcoal,16291-96-6,N/A,N/A,N/A,N/A
64742-96-7,CASRN,DTXSID9028253,"Solvent naphtha, petroleum, heavy aliph.",64742-96-7,N/A,N/A,N/A,N/A
65870-97-5,CASRN,DTXSID40893574,"1,1'-[Oxybis[2,2-bis[[(3,5,5-trimethyl-1-oxohexyl)oxy]methyl]-3,1-propanediyl]] 3,5,5-trimethyl-hexanoate",65870-97-5,GJIDQGCYINNRBJ-UHFFFAOYSA-N,CC(CC(=O)OCC(COCC(COC(=O)CC(C)CC(C)(C)C)(COC(=O)CC(C)CC(C)(C)C)COC(=O)CC(C)CC(C)(C)C)(COC(=O)CC(C)CC(C)(C)C)COC(=O)CC(C)CC(C)(C)C)CC(C)(C)C,"InChI=1/C64H118O13/c1-45(31-57(7,8)9)25-51(65)72-39-63(40-73-52(66)26-46(2)32-58(10,11)12,41-74-53(67)27-47(3)33-59(13,14)15)37-71-38-64(42-75-54(68)28-48(4)34-60(16,17)18,43-76-55(69)29-49(5)35-61(19,20)21)44-77-56(70)30-50(6)36-62(22,23)24/h45-50H,25-44H2,1-24H3
",DTXCID201323601
144413-22-9,CASRN,DTXSID801035961,Complex reaction mass of Chinese gum rosin post reacted with Acrylic acid,144413-22-9,N/A,N/A,N/A,N/A
163149-28-8,CASRN,DTXSID70106987,"1-Dodecene, polymer with 1-decene and 1-octene, hydrogenated",163149-28-8,N/A,N/A,N/A,N/A
145650-60-8,CASRN,DTXSID6051728,"Bis(2,4-di-tert-butyl-6-methylphenyl)ethyl phosphite",145650-60-8,ZEFSGHVBJCEKAZ-UHFFFAOYSA-N,CCOP(OC1=C(C=C(C=C1C)C(C)(C)C)C(C)(C)C)OC1=C(C=C(C=C1C)C(C)(C)C)C(C)(C)C,"InChI=1S/C32H51O3P/c1-16-33-36(34-27-21(2)17-23(29(4,5)6)19-25(27)31(10,11)12)35-28-22(3)18-24(30(7,8)9)20-26(28)32(13,14)15/h17-20H,16H2,1-15H3
",DTXCID6030283
2814-77-9,CASRN,DTXSID7044637,D&C Red No. 36,2814-77-9,XLTMWFMRJZDFFD-UHFFFAOYSA-N,OC1=C(N=NC2=CC=C(C=C2Cl)[N+]([O-])=O)C2=C(C=CC=C2)C=C1,"InChI=1S/C16H10ClN3O3/c17-13-9-11(20(22)23)6-7-14(13)18-19-16-12-4-2-1-3-10(12)5-8-15(16)21/h1-9,21H
",DTXCID20809855
1469982-93-1,CASRN,DTXSID701035970,"Amides, C18 and C18-unsatd.",1469982-93-1,N/A,N/A,N/A,N/A
68477-54-3,CASRN,DTXSID3028558,"Distillates, petroleum, steam-cracked, C8-12 fraction",68477-54-3,N/A,N/A,N/A,N/A
1190630-03-5,CASRN,DTXSID601074761,"Ethene, homopolymer, oxidized, hydrolyzed, distn. residues, from C16-18 alcs. manuf.",1190630-03-5,N/A,N/A,N/A,N/A
5580-58-5,CASRN,DTXSID30884173,"Benzamide, 3,3'-[(2,5-dichloro-1,4-phenylene)bis[imino(1-acetyl-2-oxo-2,1-ethanediyl)-2,1-diazenediyl]]bis[4-chloro-N-(5-chloro-2-methylphenyl)-",5580-58-5,ADHAFJLXGIAZAN-UHFFFAOYSA-N,CC(=O)C(N=NC1=C(Cl)C=CC(=C1)C(=O)NC1=CC(Cl)=CC=C1C)C(=O)NC1=CC(Cl)=C(NC(=O)C(N=NC2=C(Cl)C=CC(=C2)C(=O)NC2=CC(Cl)=CC=C2C)C(C)=O)C=C1Cl,"InChI=1/C42H32Cl6N8O6/c1-19-5-9-25(43)15-31(19)49-39(59)23-7-11-27(45)35(13-23)53-55-37(21(3)57)41(61)51-33-17-30(48)34(18-29(33)47)52-42(62)38(22(4)58)56-54-36-14-24(8-12-28(36)46)40(60)50-32-16-26(44)10-6-20(32)2/h5-18,37-38H,1-4H3,(H,49,59)(H,50,60)(H,51,61)(H,52,62)
",DTXCID201023635
94-13-3,CASRN,DTXSID4022527,Propylparaben,94-13-3,QELSKZZBTMNZEB-UHFFFAOYSA-N,CCCOC(=O)C1=CC=C(O)C=C1,"InChI=1S/C10H12O3/c1-2-7-13-10(12)8-3-5-9(11)6-4-8/h3-6,11H,2,7H2,1H3
",DTXCID602527
76812-02-7,CASRN,DTXSID801036438,"4-[4-[4-(Hydroxydiphenylmethyl)-1-piperidinyl]-1-oxobutyl]-alpha,alpha-dimethyl-ethyl ester benzeneacetic acid",76812-02-7,N/A,N/A,N/A,N/A
2055396-18-2,CASRN,DTXSID601335698,"Ferrate(2-), [N-[2-[bis[(carboxy-κO)methyl]amino-κN]ethyl]-N-[2-[[(carboxy-κO)methyl](carboxymethyl)amino-κN]ethyl]glycinato(5-)-κN,κO]-, potassium hydrogen (1:1:1)",2055396-18-2,SNFNLTOFPBFOQV-UHFFFAOYNA-J,[K+].[Fe+3].OC(=O)CN(CCN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O)CC([O-])=O,"InChI=1/C14H23N3O10.Fe.K/c18-10(19)5-15(1-3-16(6-11(20)21)7-12(22)23)2-4-17(8-13(24)25)9-14(26)27;;/h1-9H2,(H,18,19)(H,20,21)(H,22,23)(H,24,25)(H,26,27);;/q;+3;+1/p-4
",DTXCID101765509
1064697-81-9,Searched by CASRN: Found 0 results,N/A,N/A,N/A,N/A,N/A,N/A,N/A
611-06-3,CASRN,DTXSID3024998,"2,4-Dichloronitrobenzene",611-06-3,QUIMTLZDMCNYGY-UHFFFAOYSA-N,[O-][N+](=O)C1=CC=C(Cl)C=C1Cl,"InChI=1S/C6H3Cl2NO2/c7-4-1-2-6(9(10)11)5(8)3-4/h1-3H
",DTXCID104998
97489-15-1,CASRN,DTXSID10892953,C14-17-sec-alkanesulfonic acid sodium salts,97489-15-1,N/A,N/A,N/A,N/A
2568-90-3,CASRN,DTXSID3062528,"Butane, 1,1'-[methylenebis(oxy)]bis-",2568-90-3,QLCJOAMJPCOIDI-UHFFFAOYSA-N,CCCCOCOCCCC,"InChI=1S/C9H20O2/c1-3-5-7-10-9-11-8-6-4-2/h3-9H2,1-2H3
",DTXCID1037359
68647-95-0,CASRN,DTXSID90100629,"Fatty acids, C18-unsatd., dimers, compds. with coco alkylamines",68647-95-0,N/A,N/A,N/A,N/A
123-68-2,CASRN,DTXSID1047653,Allyl hexanoate,123-68-2,RCSBILYQLVXLJG-UHFFFAOYSA-N,CCCCCC(=O)OCC=C,"InChI=1S/C9H16O2/c1-3-5-6-7-9(10)11-8-4-2/h4H,2-3,5-8H2,1H3
",DTXCID9027653
1303-00-0,CASRN,DTXSID2023779,Gallium arsenide,1303-00-0,JBRZTFJDHDCESZ-UHFFFAOYSA-N,[Ga]#[As],"InChI=1S/As.Ga
",DTXCID403779
361442-00-4,CASRN,DTXSID60957561,(2S)-2-((tert-Butoxycarbonyl)amino)-2-(3-hydroxyadamantan-1-yl)acetic acid,361442-00-4,UKCKDSNFBFHSHC-ZEJPWUNMSA-N,CC(C)(C)OC(=O)N[C@H](C(O)=O)C12CC3CC(CC(O)(C3)C1)C2,"InChI=1S/C17H27NO5/c1-15(2,3)23-14(21)18-12(13(19)20)16-5-10-4-11(6-16)8-17(22,7-10)9-16/h10-12,22H,4-9H2,1-3H3,(H,18,21)(H,19,20)/t10?,11?,12-,16?,17?/m1/s1
",DTXCID401527095
89452-37-9,CASRN,DTXSID30909315,Bis[4-(diphenylsulfonio)phenyl] sulfide bis(hexafluoroantimonate),89452-37-9,DREXYWKFHDOSNT-UHFFFAOYSA-B,F[Sb-](F)(F)(F)(F)F.F[Sb-](F)(F)(F)(F)F.S(C1=CC=C(C=C1)[S+](C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=C(C=C1)[S+](C1=CC=CC=C1)C1=CC=CC=C1,"InChI=1S/C36H28S3.12FH.2Sb/c1-5-13-31(14-6-1)38(32-15-7-2-8-16-32)35-25-21-29(22-26-35)37-30-23-27-36(28-24-30)39(33-17-9-3-10-18-33)34-19-11-4-12-20-34;;;;;;;;;;;;;;/h1-28H;12*1H;;/q+2;;;;;;;;;;;;;2*+5/p-12
",DTXCID101338378
3578-72-1,CASRN,DTXSID8063090,"Docosanoic acid, calcium salt (2:1)",3578-72-1,SMBKCSPGKDEPFO-UHFFFAOYSA-L,[Ca++].CCCCCCCCCCCCCCCCCCCCCC([O-])=O.CCCCCCCCCCCCCCCCCCCCCC([O-])=O,"InChI=1S/2C22H44O2.Ca/c2*1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24;/h2*2-21H2,1H3,(H,23,24);/q;;+2/p-2
",DTXCID7039092
56-12-2,CASRN,DTXSID6035106,4-Aminobutanoic acid,56-12-2,BTCSSZJGUNDROE-UHFFFAOYSA-N,NCCCC(O)=O,"InChI=1S/C4H9NO2/c5-3-1-2-4(6)7/h1-3,5H2,(H,6,7)
",DTXCID4015106
10429-07-9,CASRN,DTXSID601037404,Androsterone tosylate,10429-07-9,HNTMKSKJRZRWKS-AOWVUTIXSA-N,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(CC[C@]12C)OS(=O)(=O)C1=CC=C(C)C=C1,"InChI=1S/C26H36O4S/c1-17-4-7-20(8-5-17)31(28,29)30-19-12-14-25(2)18(16-19)6-9-21-22-10-11-24(27)26(22,3)15-13-23(21)25/h4-5,7-8,18-19,21-23H,6,9-16H2,1-3H3/t18-,19?,21-,22-,23-,25-,26-/m0/s1
",DTXCID501521440
89-39-4,CASRN,DTXSID5058987,"Benzene, 1,4-dimethoxy-2-nitro-",89-39-4,UPTOWXNJLZJTGD-UHFFFAOYSA-N,COC1=CC(=C(OC)C=C1)[N+]([O-])=O,"InChI=1S/C8H9NO4/c1-12-6-3-4-8(13-2)7(5-6)9(10)11/h3-5H,1-2H3
",DTXCID3048655
68410-71-9,CASRN,DTXSID8028470,"Raffinates, petroleum, catalytic reformer ethylene glycol-water countercurrent exts.",68410-71-9,N/A,N/A,N/A,N/A
64741-78-2,CASRN,DTXSID5028162,"Naphtha, petroleum, heavy hydrocracked",64741-78-2,N/A,N/A,N/A,N/A
93334-10-2,CASRN,DTXSID001036610,"Fatty acids, rape-oil, mixed esters with 1,4:3,6-dianhydro-d-glucitol, sorbitan and sorbitol",93334-10-2,N/A,N/A,N/A,N/A
2920-38-9,CASRN,DTXSID0062713,"[1,1'-Biphenyl]-4-carbonitrile",2920-38-9,BPMBNLJJRKCCRT-UHFFFAOYSA-N,N#CC1=CC=C(C=C1)C1=CC=CC=C1,"InChI=1S/C13H9N/c14-10-11-6-8-13(9-7-11)12-4-2-1-3-5-12/h1-9H
",DTXCID9037953
6485-40-1,CASRN,DTXSID7041413,R-(-)-Carvone,6485-40-1,ULDHMXUKGWMISQ-SECBINFHSA-N,CC(=C)[C@@H]1CC=C(C)C(=O)C1,"InChI=1S/C10H14O/c1-7(2)9-5-4-8(3)10(11)6-9/h4,9H,1,5-6H2,2-3H3/t9-/m1/s1
",DTXCID5021413
682-09-7,CASRN,DTXSID7044976,"2,2-Bis[(prop-2-en-1-yloxy)methyl]butan-1-ol",682-09-7,BDKDHWOPFRTWPP-UHFFFAOYSA-N,CCC(CO)(COCC=C)COCC=C,"InChI=1S/C12H22O3/c1-4-7-14-10-12(6-3,9-13)11-15-8-5-2/h4-5,13H,1-2,6-11H2,3H3
",DTXCID5024976
62-33-9,CASRN,DTXSID2036409,Calcium disodium ethylenediaminetetraacetate,62-33-9,SHWNNYZBHZIQQV-UHFFFAOYSA-J,[Na+].[Na+].[Ca++].[O-]C(=O)CN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O,"InChI=1S/C10H16N2O8.Ca.2Na/c13-7(14)3-11(4-8(15)16)1-2-12(5-9(17)18)6-10(19)20;;;/h1-6H2,(H,13,14)(H,15,16)(H,17,18)(H,19,20);;;/q;+2;2*+1/p-4
",DTXCID0016409
61790-48-5,CASRN,DTXSID1028100,"Sulfonic acids, petroleum, barium salts",61790-48-5,N/A,N/A,N/A,N/A
1298086-15-3,CASRN,DTXSID901045046,4-Bromo-1-chloro-2-[(4-ethoxyphenyl)(phenylmethoxy)methyl]benzene,1298086-15-3,BCXSFFOHQBIFOM-UHFFFAOYNA-N,CCOC1=CC=C(C=C1)C(OCC1=CC=CC=C1)C1=C(Cl)C=CC(Br)=C1,"InChI=1/C22H20BrClO2/c1-2-25-19-11-8-17(9-12-19)22(20-14-18(23)10-13-21(20)24)26-15-16-6-4-3-5-7-16/h3-14,22H,2,15H2,1H3
",DTXCID301526963
120-46-7,CASRN,DTXSID3041247,"1,3-Diphenyl-1,3-propanedione",120-46-7,NZZIMKJIVMHWJC-UHFFFAOYSA-N,O=C(CC(=O)C1=CC=CC=C1)C1=CC=CC=C1,"InChI=1S/C15H12O2/c16-14(12-7-3-1-4-8-12)11-15(17)13-9-5-2-6-10-13/h1-10H,11H2
",DTXCID1021247
122-72-5,CASRN,DTXSID2047648,3-Phenylpropyl acetate,122-72-5,JRJGKUTZNBZHNK-UHFFFAOYSA-N,CC(=O)OCCCC1=CC=CC=C1,"InChI=1S/C11H14O2/c1-10(12)13-9-5-8-11-6-3-2-4-7-11/h2-4,6-7H,5,8-9H2,1H3
",DTXCID0027648
64741-52-2,CASRN,DTXSID3028138,"Distillates, petroleum, light naphthenic",64741-52-2,N/A,N/A,N/A,N/A
