SMILES,Binary Activity
CCOP(=S)(OCC)SC(CCl)N1C(=O)C2=C(C=CC=C2)C1=O,1
CCC(C)=CCCC(C)(O)C=C,1
ClC1=CC=C(C=C1)N=C=O,1
O=CC=CC1=CC=CC=C1,1
OCCOCCOC1=CC=CC=C1,1
CCCCC(CC)CN,1
CCN(CC)CCCN,1
OCC1CCC(CO)O1,1
CC1=CC=C(C=O)C=C1,1
ClC1=CC=C(C=O)C=C1,1
CCC1=CN=C(C)C=C1,1
OC1=CC=C(C=C1)N=O,1
COC1=CC=C(N)C=C1,1
NC1CCC2=NC(=N)SC2C1,1
CCCCCCCCCNC(=O)CCCCC(=O)OO,1
COC1CN(CCCOC2=CC=C(F)C=C2)CCC1N,1
CCCCNC(=O)C1=C(C=CC=C1)C(=O)N1CCOCC1,1
CCC1=CC=C(CC)C=C1,1
OCC1CCC(CO)CC1,1
CCN(CC)CCOC(=O)C(C)=C,1
COC(=O)CC#N,1
CCOC(=O)CBr,1
CCOC(=O)CCl,1
COC(=O)CC(C)=O,1
CCC(C)OC(C)=O,1
CC(C)OC(=O)CCl,1
CCOC(=O)CC(=O)OCC,1
CCOC(=O)CC#N,1
CCOC(C)OCC,1
CN(CCO)CCO,1
CC(C)OC(=O)OOC(=O)OC(C)C,1
CC1=CC(C)=C(O)C=C1,1
CN(CCCN)CCCN,1
CC1=CC=CC=[N+]1CCCC1=CC=CC=C1,1
NCCCNCCNCCCN,1
CN(C)CCCNCCCN,1
CCOCCC1=C(C)C(C)=C(OCCN=C2NC=NC(CC)=C2Cl)C=C1,1
CN1CCC(C(CO)C1)C1=CC=C(F)C=C1,1
CCCCCCCCCCCC(=O)NCCC[N+](C)(C)C,1
CC(C)CC(C)=NCCNCCN=C(C)CC(C)C,1
CC(C)OP(=O)(OC(C)C)C(Cl)(Cl)P(=O)(OC(C)C)OC(C)C,1
OC(=O)C(CCSSCCC(NC(=O)C(F)(F)F)C(O)=O)NC(=O)C(F)(F)F,1
CCCCC(CC)CNCC(CC)CCCC,1
CCCC(=O)OC(=O)CCC,1
CC1=CC=C(C)C=C1,1
CC1=CC=C(Cl)C=C1,1
CC1=CC=C(O)C=C1,1
NC1=CC=C(Cl)C=C1,1
OC1=CC=C(Cl)C=C1,1
NC1=CC=C(N)C=C1,1
O=C1C=CC(=O)C=C1,1
CC(C)COC(=O)C=C,1
COC(=O)CCC(=O)OC,1
ClC(=O)OCCOCCOC(Cl)=O,1
COC(=O)CCCCCCCCC(=O)OC,1
C1OC1C1CCC2OC2C1,1
CCC1CO1,1
C=CC(=O)OCC1CO1,1
CC(=C)C(=O)OCC1CO1,1
C=CCOCC1CO1,1
BrCCBr,1
CCCBr,1
BrCC=C,1
BrCC#C,1
CCC=C,1
COC(=O)NC1=NC2=CC=CC=C2N1,1
NC1CCC2=C(C1)SC(=N)N2,1
CN(C)CCS(=O)(=O)C1=CC=C(C=C1)N1CCC(=N1)C1=CC=C(Cl)C=C1,1
CC(C)(C)CCCCCC(O)=O,1
[O-][N+](=O)C1=CC(Cl)=C(NS(=O)(=O)C2=CC(=C(Cl)C=C2)C(F)(F)F)C=C1,1
C=CC=O,1
CCCS,1
ClCC=C,1
ClCCCl,1
CCCN,1
NCC=C,1
CCC#N,1
C=CC#N,1
ClCC#N,1
OCC=C,1
OCC#C,1
ClCC=O,1
O=CC=O,1
CC=NO,1
COCCl,1
COC=O,1
CC(O)CC(C)(C)O,1
CCOP(=O)(OCC)OP(=O)(OCC)OCC,1
CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCCCC,1
CCCCOP(O)(=O)OCCCC,1
CC(=O)OOC(C)(C)C,1
CC(C)CCN,1
CC(C)=CC=O,1
CCCC(C)=O,1
CCCC(O)=O,1
OC(=O)CCCl,1
OC(=O)CCS,1
CCCCC(CC)CO,1
OC(=O)CNCP(O)(O)=O,1
CCCCCCCCCOS(O)(=O)=O,1
OCCN1CC1,1
CCC1=NC=CN1,1
C=CN1C=CN=C1,1
CN1C=C(C)C=N1,1
CC(C)(C)C(O)(CCC1=CC=C(Cl)C=C1)CN1C=NC=N1,1
CC(C)(C)C1=C(O)C=CC(CCC(O)=O)=C1,1
CN(C)CCO,1
CC(C)CC(C)=O,1
CC(C)CC(C)O,1
CC(O)CN(C)C,1
CC(C)NC(C)C,1
CC(C)OC(C)C,1
CC(C)OC(C)=O,1
CC(C)OC(Cl)=O,1
CC(=O)OC(C)=O,1
O=C1CCC(=O)O1,1
O=C1OC(=O)C=C1,1
CC1=CC(O)=CC=C1,1
OC1=CC(Cl)=CC=C1,1
CC1=CC(N)=CC=C1,1
NC1=CC(N)=CC=C1,1
O=C1CCCC(=O)O1,1
C=CC1=CC(C=C)=CC=C1,1
COC(=O)CC(=O)OC,1
CC1OC(C)OC(C)OC(C)O1,1
CC1=CC(C)=CC(C)=C1,1
CC1=CC(O)=CC(C)=C1,1
CC1=CC(N)=CC(C)=C1,1
ClC1=CC(Cl)=CC(Cl)=C1,1
ClC1=NC(Cl)=NC(Cl)=N1,1
CC(C)CC(O)CC(C)C,1
CC(C)CC(C)OC(C)=O,1
CC1=CC=NC=C1,1
NC1CCCCC1,1
OC1CCCCC1,1
OC1=CC=CC=C1,1
SC1=CC=CC=C1,1
CC1=CC=CN=C1,1
CN(C)S(=O)(=O)N(SC(F)(Cl)Cl)C1=CC=CC=C1,1
CN1CCOCC1,1
CC1=NC=CC=C1,1
CCCCC(O)=O,1
CN(C)CCCN,1
CC(C)OCCO,1
CCCOC(C)=O,1
CCCOC(Cl)=O,1
CCCCC,1
CCCCN,1
CCCC#N,1
NCCCN,1
N#CCC#N,1
OCCC#N,1
CCCCS,1
CNCCO,1
COCCO,1
COCOC,1
CCNCC,1
C1CCOC1,1
NC1=CC=C2N=C3C(Cl)=C4OC5=C(C(NCCCNC6=NC(F)=NC(NC7=C(C=CC(=C7)S(O)(=O)=O)S(O)(=O)=O)=N6)=CC=C5N=C4C(Cl)=C3OC2=C1S(O)(=O)=O)S(O)(=O)=O,1
C1CCSC1,1
CC(C)CCC(C)=O,1
OC(=O)C=CC(O)=O,1
CN(C)CCN(C)C,1
CCCCCC(C)=O,1
CC=CC=CC(O)=O,1
CC(C)CCOC=O,1
COCCOC(C)=O,1
CCCCCC,1
CCCCC=O,1
CCCC=NO,1
CCNCCO,1
CCCOC=O,1
CCSCCO,1
C1CCCCC1,1
C1CCC=CC1,1
C1CNCCN1,1
C1=CC=NC=C1,1
C1COC=CC1,1
C1CCNCC1,1
C1COCCN1,1
CC(C)=CCCC(C)=O,1
CN(C)CCCN(C)C,1
CC(O)CNCC(C)O,1
CS(=O)(=O)C1=CC(=C(C=C1)C(O)=O)[N+]([O-])=O,1
CCCCCCC(C)=O,1
CCCCCCC(O)=O,1
CCOCCOC(C)=O,1
OC(=O)CCSCCC(O)=O,1
CN(C)CCCCCCN(C)C,1
CC(=O)OCCOCCOCCOC(C)=O,1
CCCCCCN,1
CCCCCCO,1
O=CCCCC=O,1
CCCCN=C=O,1
NCCNCCN,1
NCCNCCO,1
ClCCOCCCl,1
OCCSCCO,1
C1CCCNCC1,1
CCCCCCCCCCCCCCCCCC(=O)NCCO,1
CCCCCCCC,1
N#CCCCCC#N,1
CCCCCCCO,1
CCCCCCC=O,1
CCCCNCCO,1
CCCCOCCO,1
C1CC=CCCC=C1,1
CCCCCCCCC,1
CCCCCCCCN,1
CCCCCCCCO,1
CCCCCCCCS,1
CCCCNCCCC,1
NC(O)=O,1
CC(C)(CO)COC(=O)C(C)(C)CO,1
CC(CN1CCOCC1)OCCN1CCOCC1,1
CCCCCCCC(=O)N(C)C,1
CCC(C)C1=CC(=CC(C(C)CC)=C1O)N=NC1=CC=C(C=C1)[N+]([O-])=O,1
CCCCCCCCC(O)CO,1
CCCCCCCCCCCCCC[N+](C)(C)C,1
CC(C)C1CCC(C)CC1OC(O)C(O)=O,1
ClC1=CC=C(CN2CCSC2=NC#N)C=N1,1
CCCCCCCCCCCCCCCC[N+](C)(C)C,1
CCCCCCCCC(O)=O,1
CCOCCOCCOC(C)=O,1
CCCCCCCCCCCCN(C)C,1
NCCNCCNCCN,1
CCCCCCCCCCBr,1
CCCCCCCCCCO,1
NCCCOCCOCCO,1
CCCCOCCOCCO,1
OC(=O)CCCCCCCCC=C,1
CCCCCCCCCCCO,1
CCCCCCCCCCCC=O,1
NCCNCCNCCNCCN,1
CCCCCCOCCOCCO,1
CCCCCCCCCCCCCCCCN(C)C,1
CCCCCCCCCCCCCCO,1
CCCCCCCCCCCCCCN(C)C,1
CCCCCCCCC=CCCCCCCCCN,1
CCCCCCCCCCN(C)C,1
O=S1(=O)CCCO1,1
COC(=O)C1=C(N=CC(C)=C1)C(=O)OC,1
C1CNCCNCCNCCN1,1
COCCNS(=O)(=O)C1=CC=C(O)C(N)=C1,1
CN(C)C1=CC=NC=C1,1
FC1=CC=C(C=C1)C(C=O)=CC1=CC=CC=C1Cl,1
COC(=O)C1=CC=CC=C1CS(N)(=O)=O,1
NC1=C(F)C=C(OC2=C(Cl)C=C(C=C2)C(F)(F)F)C=C1,1
CC(Br)C(=O)N1C(=O)OCC1(C)C,1
CC(C)OCCCNS(=O)(=O)C1=CC=C(O)C(N)=C1,1
CC(C)(O)C#C,1
CC[Si](Cl)(Cl)Cl,1
ClC1=C(Cl)C2(Cl)C3C(C(=O)OC3=O)C1(Cl)C2(Cl)Cl,1
OC(=O)C1C(C(O)=O)C2(Cl)C(Cl)=C(Cl)C1(Cl)C2(Cl)Cl,1
OC(C1=CC=C(Cl)C=C1)(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl,1
OC(C1CCNCC1)(C1=CC=CC=C1)C1=CC=CC=C1,1
CC(N)(CO)CO,1
CCC(N)(CO)CO,1
CCCCP(CCCC)(CCCC)CC1=CC=C(Cl)C=C1Cl,1
CCCCC(CC)(CO)CO,1
CCOP(=S)(OCC)OC1=CC=C(C=C1)S(C)=O,1
CC1=C(C=O)C(C)(C)CC=C1,1
CC(C)C1OCC(CO1)C(O)=O,1
OCCOCCN1CC2CCC1C2,1
COC1CN(CCCOC2=CC=C(F)C=C2)CCC1=O,1
BrC1=C(Br)C(Br)=C(OC2=C(Br)C(Br)=C(Br)C(Br)=C2Br)C(Br)=C1Br,1
OC1=CC(C=O)=CC(=C1O)[N+]([O-])=O,1
ClC1=C2C(=O)OC(=O)C2=C(Cl)C(Cl)=C1Cl,1
ClC1=C(Cl)C(=O)C2=C(C=CC=C2)C1=O,1
CCCCCCCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCCCCCC,1
CCOC(=O)C1(N)CC1C=C,1
COC(=O)C(C)CCC(=O)N(C)C,1
CCCCCC1C(O)CCC1CC(O)=O,1
NC1=CC(=C(NC2=CC=CC=C2C(O)=O)C=C1)[N+]([O-])=O,1
O=C1NC2=C(C=CC=C2)C(=O)O1,1
OC1=C(C=CC=C1)C(=O)OCC1=CC=CC=C1,1
ClC1=C(Cl)C(=O)C(Cl)=C(Cl)C1=O,1
OC1=C(Br)C=C(Br)C=C1Br,1
CC1=CC=C(N)C=C1S(O)(=O)=O,1
NC1=C(C=CC=C1)C(O)=O,1
CC1=C(C=C(C=C1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,1
CC(OC1=CC=C(O)C=C1)C(O)=O,1
CC(CO)C1CCCCCCCCCCC1,1
OP(O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
C1CCC2=C(C1)C=CC=C2,1
C1=CC2=C(C=C1)C=NC=C2,1
OC(=O)C(F)(F)OC1(F)OC(F)(F)OC1(F)OC(F)(F)F,1
CCC1=NN(C)C(C(=O)NCC2=CC=C(C=C2)C(C)(C)C)=C1Cl,1
CC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(OC2=CC=C(Cl)C=C2)C=C1,1
CC1=CC(=O)N(CC2=CC(CN3C(=O)C=C(C)C3=O)=CC=C2)C1=O,1
CCOC1=CC(NC(=O)C2=CC=CC=C2)=C(OCC)C=C1N,1
OS(=O)(=O)C1=CC2=C(C=CC=C2)C=C1,1
CC(OC1=C(Cl)C=C(Cl)C=C1)C(O)=O,1
CCCCCCCCCCCC(=O)N(CCO)CCO,1
COC(=O)C1=CC=C(C=C1)C(=O)OC,1
COC1=CC=C(C)C=C1N,1
N1C=CC2=C1C=CC=C2,1
OC1=C(O)C=CC=C1,1
OC1=C(Cl)C=C(Cl)C=C1,1
O=C1CCCC1,1
CN1CCCC1,1
O=COCCOCCOC=O,1
COC1=CC=CC=C1OCCNCC1=CC=CC=C1,1
CC1=CC=C(C=C1S(O)(=O)=O)[N+]([O-])=O,1
COC(=O)C(C)=CC1C(C(=O)OC2CC(=O)C(CC=CC=C)=C2C)C1(C)C,1
CCOC1=C(O)C=CC(C=O)=C1,1
COC1=C(O)C=CC(C=O)=C1,1
COB(OC)OC,1
CCN(CC)CC,1
COP(OC)OC,1
CC(C)(C)CC(C)(C)C1=CC=C(OCCOCC[N+](C)(C)CC2=CC=CC=C2)C=C1,1
NC1=CC=C(C=C1)S(O)(=O)=O,1
CC(=O)C1=CC(O)=CC=C1,1
C(NC1=C2N=CN=C2N=CN1)C1=CC=CC=C1,1
COC1CC(C(OP2OC3CCCCC3C3CCCCC3O2)C(C1)C(C)(C)C)C1=CC(OC)=CC(=C1OP1OC2CCCCC2C2CCCCC2O1)C(C)(C)C,1
CC(O)CN(CC(C)O)CC(C)O,1
CCNC1=NC(NCC)=NC(Cl)=N1,1
N(C1=CC=CC=C1)C1=CC=CC=C1,1
CCOP(OCC)OCC,1
C(OC1=CC=CC=C1)C1CO1,1
OC(=O)COC1=CC=C(Cl)C=C1,1
OCCNC1=CC=CC=C1,1
OCCOC1=CC=CC=C1,1
CC1(C)CC(CC(C)(C)N1)NC(=O)C(=O)NN,1
N1\C2=N/C3=N/C(=N\C4=C5C=CC=CC5=C(N4)\N=C4/N=C(/N=C1/C1C=CC=CC21)C1=C4C=CC=C1)/C1=CC=CC=C31,1
CCOCN1C(=C(C#N)C(Br)=C1C(F)(F)F)C1=CC=C(Cl)C=C1,1
IC1=CN(N=C1)C1CCNCC1,1
CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1,1
CCC1=CC=C(O)C=C1,1
CCCC(C)C=O,1
CCCC(=O)CCC,1
OC1=CC=C(O)C=C1,1
CCC=O,1
CNC=O,1
CC(=O)CC(C)(C)O,1
CC(C)CCO,1
CCC(=O)OC(=O)CC,1
CC1OC(C)OC(C)O1,1
CCCC=O,1
C1CCNC1,1
C1COCCO1,1
CC(C)CCOC(C)=O,1
CCCCCCC(C)O,1
C=CCNCC=C,1
NCCCCCCN,1
CCCCCCCC=O,1
CCCCOCCOCCOC(C)=O,1
CCCCCCCCCCCCCCCCCCN(C)C,1
CCCCCCCCCCCCCCCCCCN,1
CNC,1
CO,1
NC(N)=O,1
CS(Cl)(=O)=O,1
CC(C)(N)CO,1
CC1(C)CC(CC(C)(C)N1)N(CCCCCCN(C=O)C1CC(C)(C)NC(C)(C)C1)C=O,1
SC(=S)NCCNC(S)=S,1
COC(=O)C1=CC(CCl)=NN1C1=NC=CC=C1Cl,1
CC(C)CCC(C)C(C)O,1
CC1CCC23CCC(=O)C2C1(C)C(CC(C)(C=C)C(O)C3C)OC(=O)CO,1
CC(C)(C)C1=CC=C(NC2=CC(=C(N)C3=C2C(=O)C2=CC=CC=C2C3=O)S(O)(=O)=O)C=C1,1
O=S1(=O)CCCC1,1
CCCCOP(=O)(OCCCC)OCCCC,1
C[Si](C)(CCCOCC1CO1)O[Si](C)(C)CCCOCC1CO1,1
CC(C)CC(C)(O)C#CC(C)(O)CC(C)C,1
CCCCC(CC)COS(O)(=O)=O,1
CC(O)=O,1
CC(=C)C#N,1
ClC(=C)C=C,1
CC1CCN(CCN1)C1=NC2=CC(Cl)=CC=C2O1,1
CC(C)=NO,1
ClC(Cl)=C(Cl)Cl,1
CN(C)C(C)=O,1
CC(Cl)(Cl)C(O)=O,1
CC(C)COC(=O)CC(C(=O)OCC(C)C)S(O)(=O)=O,1
OS(=O)(=O)C1=CC=CC(=C1)[N+]([O-])=O,1
OC(=O)C(O)=O,1
BrN1C(=O)CCC1=O,1
CC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C,1
OS(=O)(=O)C1=CC(=CC=C1C=CC1=CC=C(C=C1S(O)(=O)=O)[N+]([O-])=O)[N+]([O-])=O,1
CC1=CC=C(NC2=CC=C(NC3=CC=C(C)C=C3)C3=C2C(=O)C2=C(C=CC=C2)C3=O)C=C1,1
CC(CO)COC1CC2CCC1(C)C2(C)C,1
OOC(=O)CCCCCN1C(=O)C2=CC=CC=C2C1=O,1
OC1=C2C(=O)C3=C(C=CC=C3)C(=O)C2=CC=C1,1
O=C1OC(=O)C2C3CC(C=C3)C12,1
OC(=O)C1C2CCC(O2)C1C(O)=O,1
CCC1=NN(C)C(C(=O)NCC2=CC=C(OC3=CC=C(C)C=C3)C=C2)=C1Cl,1
NC1=C2C=CC=CC2=C(C=C1)S(O)(=O)=O,1
O=C1C=CC(=O)C2=C1C=CC=C2,1
CC1(CC(=O)C2=C(C=CC=C2)C1=O)S(O)(=O)=O,1
ClC1=CC(Cl)=C(C=C1)C(Cl)(Cl)Cl,1
C=CC(=O)OCCCCCCOC(=O)C=C,1
CCOP(=S)(OC1=CC=C(C=C1)C#N)C1=CC=CC=C1,1
NC1=CC2=C(C=CC=C2C(=C1)S(O)(=O)=O)S(O)(=O)=O,1
OC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,1
OC1=CC=C(C(=O)C2=CC=CC=C2)C(O)=C1,1
CS(=O)(=O)C1=C(Cl)C(Cl)=NC(Cl)=C1Cl,1
CC=NC=O,1
CCN(CC)C(=O)C(Cl)=C(C)OP(=O)(OC)OC,1
CC(=C)C(O)=O,1
CCCSP(=O)(OCC)SCCC,1
CCCCCCCCCCCC[N+](C)(C)CC(O)CS([O-])(=O)=O,1
CCCCCCCCCCCCCCOC(=O)C(C)O,1
CSC,1
ClC(Cl)(Cl)SN1C(=O)C2=C(C=CC=C2)C1=O,1
OC(=O)C1=C(O)C(I)=CC(I)=C1,1
CCC1(CC2(CO2)C2=CC(Cl)=CC=C2)C(=O)C2=CC=CC=C2C1=O,1
CC1=CC=CC(C)=C1OCC(O)=O,1
CC(C)(CO)CC1=CC=CC=C1,1
CN(C)S(Cl)(=O)=O,1
CCCCNCC,1
CCC(C)(OO)OOC(C)(CC)OO,1
CCN(CC)C(=O)C1=CC=CC(C)=C1,1
CN1N=C(C)C(C=NOCC2=CC=C(C=C2)C(=O)OC(C)(C)C)=C1OC1=CC=CC=C1,1
C(S(CC1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1,1
CC1CCOC1,1
COC(C)COCC(C)O,1
CCOC(=O)C1=CN2N=C(OP(=S)(OCC)OCC)C=C2N=C1C,1
CC(C)(C)OC(=O)NC1C2CNCC12,1
[C-]#[O+],1
CCC1=CC=CC=C1CC,1
OC1=CC2=C(C=CC=C2)C=C1,1
CC1=C(NC(=O)C2=C(O)C=C3C=CC=CC3=C2)C=CC=C1,1
N(C1=CC=CC=C1)C1=CC=C2C=CC=CC2=C1,1
CSC(=O)C1=CC=CC2=C1SN=N2,1
CC(C)(C)C(=O)CCl,1
CN(C)C(=O)CCCCCCCC=C,1
CN(C)C(=O)N1C=C[N+](=C1)C(=O)N(C)C,1
CCCCN(CCCC)C(S)=S,1
OS(=O)(=O)OCCOC1=C(Cl)C=C(Cl)C=C1,1
CCCCCCCCCCCC1=NCCN1CCO,1
CON=C(C)C1=CC=CC(OC2=NC(OC)=CC(OC)=N2)=C1C(=O)OC,1
CC(C)(C)NC(=O)C1CC2CCCCC2CN1,1
O=C(ON1C(=O)CCC1=O)C1=NC2=CC=CC=C2C=C1,1
ClCC(CCl)OP(=O)(OC(CCl)CCl)OC(CCl)CCl,1
CCCCCCCCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(O)CO,1
COC(=O)C(=C)C#N,1
CCCCCCCCCCCC(=O)N(C)CC(O)=O,1
CN(C)C(=S)SSC(=S)N(C)C,1
CCC(C)CO,1
CNC(S)=S,1
NC1=CC=C(C=C1S(O)(=O)=O)S(O)(=O)=O,1
CCCCCCCCCCCCCCC(C)C1=C(O)C=C(Cl)C(O)=C1,1
S=C(SN1CCOCC1)N1CCOCC1,1
CC1(O)CC(C)(O)OO1,1
OC1CC(=CC(O)C1O)C(O)=O,1
C=CN1CCN(C=C)C1=O,1
FC1=CC(Br)=CC(F)=C1F,1
OCCN(CCN(CC(O)=O)CC(O)=O)CC(O)=O,1
Cl[Si](Cl)(C1CCCC1)C1CCCC1,1
CC1C(C)(C)C2CCC3=CN=CN=C3C2C1(C)C,1
CC(N(C)C)C1=CC=CC(O)=C1,1
CCC(O)COC1CCCCC1C(C)(C)C,1
CCC(C)N,1
CC(\N=C(/O)C(C#N)C(C)(C)C)C1=CC=C(Cl)C=C1Cl,1
CC(=O)OCC1=CC=CC=C1,1
N#CCC1=CC=CC=C1,1
NCCN1CCNCC1,1
CC(COC1=CC=C(C=C1)C(C)(C)C)OS(=O)OCCCl,1
CC(C)(C)CC(C)(C)C1=CC=C(O)C=C1,1
CCOC(=O)C=C,1
CCOC(S)=S,1
CC(C)OC(S)=S,1
[BH3-][O+]1CCCC1,1
CCOC(=O)C(Cl)C(=O)OCC,1
F[N+]12CC[N+](CCl)(CC1)CC2,1
CC(C)=CCCC(C)=CC=CC(C)=O,1
CCCCOC(=O)C=C,1
NCCO,1
CCCC(Cl)=O,1
CC(C)=CC(C)=O,1
CCC1=CC(CC)=CC=C1,1
CCOC(=O)CC(C)=O,1
[H]C12N\C(=N/C3=N/C(=N\C4([H])N\C(=N/C5=N/C(=N\1)/C1=CC=CC=C51)C1=C4C=CC=C1)/C1=C3C=CC=C1)C1=C2C=CC=C1,1
CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(C=C2)[N+]([O-])=O,1
CCCCCCCCCCCCNCCC(O)=O,1
CCCCCC=CCCCCCC(CC(=O)OCC(C)C)C(O)=O,1
CCOC(=O)CC(O)CC#N,1
CCCCCC(O)=O,1
CCCCCCC,1
CC=CC=CC=O,1
CCCNCCC,1
CCCCCCCCCCOS(O)(=O)=O,1
CCCCCCCCCCCCOC(=O)C(C)=C,1
CCCCCCOC(C)=O,1
CC1CC(C)=CC(C)C1C=O,1
CCCCCCCC(=O)NCC(O)=O,1
CO[Si](OC)(OC)C(C)(C)C(C)C,1
CCCCCCCCCO,1
CCCCCCCCC=CCCCCCCCC(O)=O,1
CCCCOCCOCCOCCO,1
ClC12C(=O)C3(Cl)C4(Cl)C1(Cl)C1(Cl)C2(Cl)C3(Cl)C4(Cl)C1(Cl)Cl,1
CCN(CC)C(S)=S,1
COCC1=CN=C(C(O)=O)C(=C1)C(O)=O,1
CON=C(C(=O)OC)C1=CC=CC=C1COC1=CC=CC=C1C,1
CCOC(=O)C(CC1=CC=CS1)C(O)=O,1
OC(=O)CF,1
OC(O)=O,1
CNCC1=CC=CC2=CC=CC=C12,1
CC1=NNC=C1,1
CCCSC1=NC(Cl)=C(C(Cl)=N1)[N+]([O-])=O,1
COC(=O)C1=CC(=CC=C1)C(=O)OC,1
C1OC1C1CO1,1
CC1=CC=C(C=C1)S(=O)(=O)NS(C)(=O)=O,1
OC(=O)CCP(O)(=O)C1=CC=CC=C1,1
CC(C)C1CCC(C)CC1OC(=O)C1OC(O)CS1,1
NCC1=CC(CN)=CC=C1,1
CC(C)CC(N)C1=C(C=CC=C1)N1CCCCC1,1
OC1=CC=CC2=CC=CN=C12,1
COC(OC)OC,1
CC(C)C1CCC(C)CC1O,1
CN(C)C1=CC2=C(C=C1)N=C1C=C(C)C(=O)C=C1N2C1=CC=CC=C1,1
O=C(NC1CCCCC1)C1=CC2=CC=CC=C2S1(=O)=O,1
OS(=O)(=O)C(F)(F)F,1
CCCCCCCCCCCCCCCCN(CCO)C(=O)CC(=O)N(CCO)CCCCCCCCCCCCCCCC,1
CCCCCCCCCCCCN(CCC(O)=O)CCC(O)=O,1
COC1=C(NNC(=O)OC(C)C)C=C(C=C1)C1=CC=CC=C1,1
CCCCCCCCC=CCCCCCCCCCCCC(=O)NCCCN(C)C,1
NC1=CC(Cl)=NC(C(O)=O)=C1Cl,1
C1CN1,1
CCOC(=O)C=CC(=O)C1=CC=CC=C1,1
CCCCC1=NC2(CCCC2)C(=O)N1,1
ClC(=O)N1CCOCC1,1
CC(C)(CS(O)(=O)=O)NC(=O)C=C,1
CC1=C(O[N+]([O-])=O)C=C(C=C1)[N+]([O-])=O,1
