INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,SMILES,CASRN,INCHIKEY,INCHI_STRING,IUPAC_NAME
56962-04-0,CASRN,DTXSID80627097,3-Bromo-5-chlorophenol,OC1=CC(Cl)=CC(Br)=C1,56962-04-0,GMGWXLPFRHYWAS-UHFFFAOYSA-N,"InChI=1S/C6H4BrClO/c7-4-1-5(8)3-6(9)2-4/h1-3,9H
",3-Bromo-5-chlorophenol
17438-89-0,CASRN,DTXSID3029314,"1-Decene, dimer",N/A,17438-89-0,N/A,N/A,N/A
682-11-1,CASRN,DTXSID5052674,2-Allyloxymethyl-2-ethylpropanediol,CCC(CO)(CO)COCC=C,682-11-1,LZDXRPVSAKWYDH-UHFFFAOYSA-N,"InChI=1S/C9H18O3/c1-3-5-12-8-9(4-2,6-10)7-11/h3,10-11H,1,4-8H2,2H3
","2-Ethyl-2-{[(prop-2-en-1-yl)oxy]methyl}propane-1,3-diol"
64742-95-6,CASRN,DTXSID4028252,Light aromatic solvent naphtha (petroleum),N/A,64742-95-6,N/A,N/A,N/A
68526-92-1,CASRN,DTXSID2028692,"Dodecene, hydroformylation products, low-boiling",N/A,68526-92-1,N/A,N/A,N/A
85535-87-1,CASRN,DTXSID8029814,Alkenes C10-13,N/A,85535-87-1,N/A,N/A,N/A
12037-29-5,CASRN,DTXSID20894261,Praseodymium oxide (Pr6O11),N/A,12037-29-5,N/A,N/A,N/A
16891-37-5,CASRN,DTXSID50893444,Magnesium ethyl carbonate,[Mg++].CCOC([O-])=O.CCOC([O-])=O,16891-37-5,HONQAQNYJBKAMA-UHFFFAOYSA-L,"InChI=1S/2C3H6O3.Mg/c2*1-2-6-3(4)5;/h2*2H2,1H3,(H,4,5);/q;;+2/p-2
",Magnesium bis(ethyl carbonate)
92585-24-5,CASRN,DTXSID1052616,2-Methyl-4-phenylpentanol,CC(CO)CC(C)C1=CC=CC=C1,92585-24-5,SXGYZCMGVZKIPJ-UHFFFAOYSA-N,"InChI=1/C12H18O/c1-10(9-13)8-11(2)12-6-4-3-5-7-12/h3-7,10-11,13H,8-9H2,1-2H3
",2-Methyl-4-phenylpentan-1-ol
7783-48-4,CASRN,DTXSID20894160,Strontium fluoride (SrF2),[F-].[F-].[Sr++],7783-48-4,FVRNDBHWWSPNOM-UHFFFAOYSA-L,"InChI=1S/2FH.Sr/h2*1H;/q;;+2/p-2
",Strontium difluoride
84962-20-9,CASRN,DTXSID901045010,"Phosphoric acid, mixed esters with Bu alc. and ethylene glycol",N/A,84962-20-9,N/A,N/A,N/A
85116-58-1,CASRN,DTXSID701027375,"Distillates (petroleum), catalytic reformed hydrotreated light, C8-12 arom. fraction RN: 85116-58-1",N/A,85116-58-1,N/A,N/A,N/A
68439-49-6,CASRN,DTXSID0041939,Ethoxylated C16-​18 alcohols,N/A,68439-49-6,N/A,N/A,N/A
7778-80-5,CASRN,DTXSID6029701,Potassium sulfate,[K+].[K+].[O-]S([O-])(=O)=O,7778-80-5,OTYBMLCTZGSZBG-UHFFFAOYSA-L,"InChI=1S/2K.H2O4S/c;;1-5(2,3)4/h;;(H2,1,2,3,4)/q2*+1;/p-2
",Dipotassium sulfate
667-84-5,CASRN,DTXSID60862363,"N-(3-Ethoxypropyl)-2,4-dihydroxy-3,3-dimethylbutanamide",CCOCCCNC(=O)C(O)C(C)(C)CO,667-84-5,MRAMPOPITCOOIN-UHFFFAOYSA-N,"InChI=1/C11H23NO4/c1-4-16-7-5-6-12-10(15)9(14)11(2,3)8-13/h9,13-14H,4-8H2,1-3H3,(H,12,15)
","N-(3-Ethoxypropyl)-2,4-dihydroxy-3,3-dimethylbutanamide"
461432-25-7,CASRN,DTXSID50439487,"(2R,3R,4R,5S,6S)-2-(Acetoxymethyl)-6-(4-chloro-3-(4-ethoxybenzyl)phenyl)tetrahydro-2H-pyran-3,4,5-triyl triacetate",CCOC1=CC=C(CC2=C(Cl)C=CC(=C2)[C@@H]2O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]2OC(C)=O)C=C1,461432-25-7,DKOQYKRDCDCNOR-ZCCUTQAASA-N,"InChI=1S/C29H33ClO10/c1-6-35-23-10-7-20(8-11-23)13-22-14-21(9-12-24(22)30)26-28(38-18(4)33)29(39-19(5)34)27(37-17(3)32)25(40-26)15-36-16(2)31/h7-12,14,25-29H,6,13,15H2,1-5H3/t25-,26+,27-,28+,29+/m1/s1
","(1S)-2,3,4,6-Tetra-O-acetyl-1,5-anhydro-1-{4-chloro-3-[(4-ethoxyphenyl)methyl]phenyl}-D-glucitol"
34454-97-2,CASRN,DTXSID0067848,2-(N-(Perfluorobutylsulfonyl)-N-methylamino)ethanol,CN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,34454-97-2,DSRUAYIFDCHEEV-UHFFFAOYSA-N,"InChI=1S/C7H8F9NO3S/c1-17(2-3-18)21(19,20)7(15,16)5(10,11)4(8,9)6(12,13)14/h18H,2-3H2,1H3
","1,1,2,2,3,3,4,4,4-Nonafluoro-N-(2-hydroxyethyl)-N-methylbutane-1-sulfonamide"
13977-56-5,CASRN,DTXSID801035923,Iron vanadium tetraoxide,[O--].[O--].[O--].[O--].[V+5].[Fe+3],13977-56-5,BVHUCWDGYGZTSH-UHFFFAOYSA-N,"InChI=1S/Fe.4O.V/q+3;4*-2;+5
",N/A
666748-58-9,Searched by CASRN: Found 0 results,N/A,N/A,N/A,N/A,N/A,N/A,N/A
15687-27-1,CASRN,DTXSID5020732,Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(O)=O,15687-27-1,HEFNNWSXXWATRW-UHFFFAOYSA-N,"InChI=1/C13H18O2/c1-9(2)8-11-4-6-12(7-5-11)10(3)13(14)15/h4-7,9-10H,8H2,1-3H3,(H,14,15)
",2-[4-(2-Methylpropyl)phenyl]propanoic acid
16294-75-0,CASRN,DTXSID0066032,"14H-Anthra[2,1,9-mna]thioxanthen-14-one",O=C1C2=CC=CC=C2C2=CC=C3SC4=CC=CC=C4C4=CC=C1C2=C34,16294-75-0,NVNWZZLOQBHTCW-UHFFFAOYSA-N,"InChI=1S/C23H12OS/c24-23-17-7-2-1-5-13(17)15-11-12-20-22-16(9-10-18(23)21(15)22)14-6-3-4-8-19(14)25-20/h1-12H
","14H-Anthra[2,1,9-mna]thioxanthen-14-one"
60924-38-1,CASRN,DTXSID40693410,Pleuromutilin-22-mesylate,C[C@@H]1CCC23CCC(=O)[C@H]2C1(C)[C@@H](C[C@@](C)(C=C)[C@@H](O)[C@@H]3C)OC(=O)COS(C)(=O)=O,60924-38-1,IKVZCNHNKCXZHZ-DUJSQGPWSA-N,"InChI=1S/C23H36O7S/c1-7-21(4)12-17(30-18(25)13-29-31(6,27)28)22(5)14(2)8-10-23(15(3)20(21)26)11-9-16(24)19(22)23/h7,14-15,17,19-20,26H,1,8-13H2,2-6H3/t14-,15+,17-,19+,20+,21-,22?,23?/m1/s1
","(4R,5S,6S,8R,9aR,10R)-6-Ethenyl-5-hydroxy-4,6,9,10-tetramethyl-1-oxodecahydro-3a,9-propanocyclopenta[8]annulen-8-yl [(methanesulfonyl)oxy]acetate"
15432-85-6,CASRN,DTXSID60872780,Sodium antimonate,[Na+].O=[Sb-](=O)=O,15432-85-6,PTFQBEZVSZWZSG-UHFFFAOYSA-N,"InChI=1S/Na.3O.Sb/q+1;;;;-1
",Sodium tris(oxido)antimonate(1-)
52238-92-3,CASRN,DTXSID7052159,Pigment Red 242,OC1=C(N=NC2=CC(=CC=C2Cl)C(F)(F)F)C2=C(C=CC=C2)C=C1C(=O)NC1=CC(Cl)=C(NC(=O)C2=CC3=C(C=CC=C3)C(N=NC3=CC(=CC=C3Cl)C(F)(F)F)=C2O)C=C1Cl,52238-92-3,GEVPMCITMSGJKL-UHFFFAOYSA-N,"InChI=1S/C42H22Cl4F6N6O4/c43-27-11-9-21(41(47,48)49)15-33(27)55-57-35-23-7-3-1-5-19(23)13-25(37(35)59)39(61)53-31-17-30(46)32(18-29(31)45)54-40(62)26-14-20-6-2-4-8-24(20)36(38(26)60)58-56-34-16-22(42(50,51)52)10-12-28(34)44/h1-18,59-60H,(H,53,61)(H,54,62)
","N,N'-(2,5-Dichloro-1,4-phenylene)bis(4-{[2-chloro-5-(trifluoromethyl)phenyl]diazenyl}-3-hydroxynaphthalene-2-carboxamide)"
135861-56-2,CASRN,DTXSID4051297,"1,3:2,4-Bis(3,4-dimethylbenzylidene)-D-sorbitol",[H][C@]12COC(O[C@@]1([H])[C@]([H])(OC(O2)C1=CC=C(C)C(C)=C1)[C@H](O)CO)C1=CC=C(C)C(C)=C1,135861-56-2,YWEWWNPYDDHZDI-JJKKTNRVSA-N,"InChI=1S/C24H30O6/c1-13-5-7-17(9-15(13)3)23-27-12-20-22(30-23)21(19(26)11-25)29-24(28-20)18-8-6-14(2)16(4)10-18/h5-10,19-26H,11-12H2,1-4H3/t19-,20+,21-,22-,23?,24?/m1/s1
","(1R)-1-[(4R,4aR,8aS)-2,6-Bis(3,4-dimethylphenyl)tetrahydro-2H,6H-[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol (non-preferred name)"
5153-24-2,CASRN,DTXSID60894023,Bis(acetato)oxozirconium,CC(=O)O[Zr](=O)OC(C)=O,5153-24-2,ZBJPXIYVKXSUKO-UHFFFAOYSA-L,"InChI=1S/2C2H4O2.O.Zr/c2*1-2(3)4;;/h2*1H3,(H,3,4);;/q;;;+2/p-2
",Bis(acetato-kappaO)(oxido)zirconium
34451-26-8,CASRN,DTXSID20379947,2-(Perfluorohexyl)ethanethiol,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCS,34451-26-8,GTPHVVCYEWPQFE-UHFFFAOYSA-N,"InChI=1S/C8H5F13S/c9-3(10,1-2-22)4(11,12)5(13,14)6(15,16)7(17,18)8(19,20)21/h22H,1-2H2
","3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluorooctane-1-thiol"
17773-41-0,CASRN,DTXSID80884986,"Butanenitrile, 2-hydroxy-4-(methylthio)-",CSCCC(O)C#N,17773-41-0,VWWOJJANXYSACS-UHFFFAOYSA-N,"InChI=1/C5H9NOS/c1-8-3-2-5(7)4-6/h5,7H,2-3H2,1H3
",2-Hydroxy-4-(methylsulfanyl)butanenitrile
84632-65-5,CASRN,DTXSID5044736,Pigment Red 254,ClC1=CC=C(C=C1)C1=C2C(=O)NC(=C2C(=O)N1)C1=CC=C(Cl)C=C1,84632-65-5,JNNHVXMCVRYTTN-UHFFFAOYSA-N,"InChI=1S/C18H10Cl2N2O2/c19-11-5-1-9(2-6-11)15-13-14(18(24)21-15)16(22-17(13)23)10-3-7-12(20)8-4-10/h1-8H,(H,21,24)(H,22,23)
","3,6-Bis(4-chlorophenyl)-2,5-dihydropyrrolo[3,4-c]pyrrole-1,4-dione"
93-84-5,CASRN,DTXSID9059092,"2H-Benzimidazol-2-one, 1,3-dihydro-5-nitro-",[O-][N+](=O)C1=CC=C2NC(=O)NC2=C1,93-84-5,DLJZIPVEVJOKHB-UHFFFAOYSA-N,"InChI=1S/C7H5N3O3/c11-7-8-5-2-1-4(10(12)13)3-6(5)9-7/h1-3H,(H2,8,9,11)
","5-Nitro-1,3-dihydro-2H-benzimidazol-2-one"
1175612-76-6,CASRN,DTXSID701072463,"Hexanedioic acid, mixed benzyl and 2-(2-methoxyethoxy)ethyl diesters",N/A,1175612-76-6,N/A,N/A,N/A
126213-50-1,CASRN,DTXSID40888925,"Thieno[3,4-b]-1,4-dioxin, 2,3-dihydro-",C1COC2=CSC=C2O1,126213-50-1,GKWLILHTTGWKLQ-UHFFFAOYSA-N,"InChI=1S/C6H6O2S/c1-2-8-6-4-9-3-5(6)7-1/h3-4H,1-2H2
","2,3-Dihydrothieno[3,4-b][1,4]dioxine"
53201-62-0,CASRN,DTXSID701036304,"1,1′-(1,4-Phenylene) bis(4-hydroxybenzoate)",OC1=CC=C(C=C1)C(=O)OC1=CC=C(OC(=O)C2=CC=C(O)C=C2)C=C1,53201-62-0,WDNYOQDNYCWKPU-UHFFFAOYSA-N,"InChI=1S/C20H14O6/c21-15-5-1-13(2-6-15)19(23)25-17-9-11-18(12-10-17)26-20(24)14-3-7-16(22)8-4-14/h1-12,21-22H
",N/A
1314-98-3,CASRN,DTXSID7042518,Zinc sulfide,[S--].[Zn++],1314-98-3,DRDVZXDWVBGGMH-UHFFFAOYSA-N,"InChI=1S/S.Zn/q-2;+2
",Zinc sulfide
1314-11-0,CASRN,DTXSID00893853,Strontium oxide (SrO),O=[Sr],1314-11-0,UFQXGXDIJMBKTC-UHFFFAOYSA-N,"InChI=1S/O.Sr
",(Oxido)strontium
91995-50-5,CASRN,DTXSID701029402,"Distillates (petroleum), naphtha steam cracking-derived, hydrotreated light arom.",N/A,91995-50-5,N/A,N/A,N/A
1182722-58-2,CASRN,DTXSID70677364,"3-[(3R)-3-Amino-1,2,3,4-tetrahydro-9H-carbazol-9-yl]propanoic acid",N[C@@H]1CCC2=C(C1)C1=CC=CC=C1N2CCC(O)=O,1182722-58-2,RRWZRHNYCZSEBR-SNVBAGLBSA-N,"InChI=1S/C15H18N2O2/c16-10-5-6-14-12(9-10)11-3-1-2-4-13(11)17(14)8-7-15(18)19/h1-4,10H,5-9,16H2,(H,18,19)/t10-/m1/s1
","3-[(3R)-3-Amino-1,2,3,4-tetrahydro-9H-carbazol-9-yl]propanoic acid"
54660-00-3,CASRN,DTXSID2068971,"Pyrrolo[3,4-c]pyrrole-1,4-dione, 2,5-dihydro-3,6-diphenyl-",O=C1NC(=C2C(=O)NC(=C12)C1=CC=CC=C1)C1=CC=CC=C1,54660-00-3,UWHBZLMSPZBZHY-UHFFFAOYSA-N,"InChI=1S/C18H12N2O2/c21-17-13-14(16(20-17)12-9-5-2-6-10-12)18(22)19-15(13)11-7-3-1-4-8-11/h1-10H,(H,19,22)(H,20,21)
","3,6-Diphenyl-2,5-dihydropyrrolo[3,4-c]pyrrole-1,4-dione"
147126-62-3,CASRN,DTXSID90933035,"5-Methyl-2-(propan-2-yl)cyclohexyl 5-hydroxy-1,3-oxathiolane-2-carboxylate",[H][C@]1(O)CS[C@@]([H])(O1)C(=O)O[C@]1([H])C[C@]([H])(C)CC[C@@]1([H])C(C)C,147126-62-3,KXKDZLRTIFHOHW-CYRBOEJBSA-N,"InChI=1S/C14H24O4S/c1-8(2)10-5-4-9(3)6-11(10)17-13(16)14-18-12(15)7-19-14/h8-12,14-15H,4-7H2,1-3H3/t9-,10+,11-,12-,14-/m1/s1
","(1R,2S,5R)-5-Methyl-2-(propan-2-yl)cyclohexyl (2R,5R)-5-hydroxy-1,3-oxathiolane-2-carboxylate"
10361-44-1,CASRN,DTXSID30883121,Bismuth nitrate,[Bi+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O,10361-44-1,PPNKDDZCLDMRHS-UHFFFAOYSA-N,"InChI=1S/Bi.3NO3/c;3*2-1(3)4/q+3;3*-1
",Bismuth(3+) trinitrate
52334-81-3,CASRN,DTXSID8075251,"Pyridine, 2-chloro-5-(trifluoromethyl)-",FC(F)(F)C1=CN=C(Cl)C=C1,52334-81-3,JFZJMSDDOOAOIV-UHFFFAOYSA-N,"InChI=1S/C6H3ClF3N/c7-5-2-1-4(3-11-5)6(8,9)10/h1-3H
",2-Chloro-5-(trifluoromethyl)pyridine
66402-68-4,CASRN,DTXSID0051235,"Ceramic materials and wares, chemicals",N/A,66402-68-4,N/A,N/A,N/A
17194-00-2,CASRN,DTXSID10892155,Barium hydroxide,[OH-].[OH-].[Ba++],17194-00-2,RQPZNWPYLFFXCP-UHFFFAOYSA-L,"InChI=1S/Ba.2H2O/h;2*1H2/q+2;;/p-2
",Barium dihydroxide
95371-11-2,CASRN,DTXSID301066131,"Animal fats, sulfonated, sodium salts",N/A,95371-11-2,N/A,N/A,N/A
75-85-4,CASRN,DTXSID0041436,2-Methyl-2-butanol,CCC(C)(C)O,75-85-4,MSXVEPNJUHWQHW-UHFFFAOYSA-N,"InChI=1S/C5H12O/c1-4-5(2,3)6/h6H,4H2,1-3H3
",2-Methylbutan-2-ol
12060-58-1,CASRN,DTXSID4051611,Samarium(III) oxide,O=[Sm]O[Sm]=O,12060-58-1,PRCWVHVINXAFRG-UHFFFAOYSA-N,"InChI=1S/3O.2Sm
",mu-Oxido[bis(oxido)]disamarium
6925-69-5,CASRN,DTXSID4064507,12H-Phthaloperin-12-one,O=C1N2C(=NC3=C4C(C=CC=C24)=CC=C3)C2=CC=CC=C12,6925-69-5,XFYQEBBUVNLYBR-UHFFFAOYSA-N,"InChI=1S/C18H10N2O/c21-18-13-8-2-1-7-12(13)17-19-14-9-3-5-11-6-4-10-15(16(11)14)20(17)18/h1-10H
","12H-Isoindolo[2,1-a]perimidin-12-one"
84144-87-6,CASRN,DTXSID601045009,"Ashes (residues), vanadium-contg.",N/A,84144-87-6,N/A,N/A,N/A
14442-94-5,CASRN,DTXSID001045051,"3,5-Bis(1,1-dimethylethyl)-4-hydroxy-N-octadecylbenzenepropanamide",CCCCCCCCCCCCCCCCCCNC(=O)CCC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C,14442-94-5,HQSOHEURLMFXBX-UHFFFAOYSA-N,"InChI=1S/C35H63NO2/c1-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-26-36-32(37)25-24-29-27-30(34(2,3)4)33(38)31(28-29)35(5,6)7/h27-28,38H,8-26H2,1-7H3,(H,36,37)
",N/A
25340-17-4,CASRN,DTXSID4027866,Diethylbenzene,"CC*.CCC1=CC=CC=C1 |c:6,8,t:4,m:2:6.7.8|",25340-17-4,N/A,N/A,N/A
05-12-4485,Searched by Synonym: Found 0 results,N/A,N/A,N/A,N/A,N/A,N/A,N/A
91770-57-9,CASRN,DTXSID501027412,"Residual oils (petroleum), catalytic dewaxed",N/A,91770-57-9,N/A,N/A,N/A
04-01-2457,Searched by Synonym: Found 0 results,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12003-78-0,CASRN,DTXSID0065145,"Aluminum, compd. with nickel (1:1)",[AlH3].[Ni],12003-78-0,YYCNOHYMCOXPPJ-UHFFFAOYSA-N,"InChI=1S/Al.Ni
",Aluminium--nickel (1/1)
64742-85-4,CASRN,DTXSID0028242,"Residues, petroleum, hydrodesulfurized vacuum",N/A,64742-85-4,N/A,N/A,N/A
84731-70-4,CASRN,DTXSID001005033,"Bis(2-ethylhexyl) cyclohexane-1,4-dicarboxylate",CCCCC(CC)COC(=O)C1CCC(CC1)C(=O)OCC(CC)CCCC,84731-70-4,HOQGHOMLEVKTBY-UHFFFAOYSA-N,"InChI=1/C24H44O4/c1-5-9-11-19(7-3)17-27-23(25)21-13-15-22(16-14-21)24(26)28-18-20(8-4)12-10-6-2/h19-22H,5-18H2,1-4H3
","Bis(2-ethylhexyl) cyclohexane-1,4-dicarboxylate"
142068-96-0,CASRN,DTXSID501334916,142068-96-0 (name too long),N/A,142068-96-0,N/A,N/A,N/A
102-79-4,CASRN,DTXSID1044354,N-Butyldiethanolamine,CCCCN(CCO)CCO,102-79-4,GVNHOISKXMSMPX-UHFFFAOYSA-N,"InChI=1S/C8H19NO2/c1-2-3-4-9(5-7-10)6-8-11/h10-11H,2-8H2,1H3
","2,2'-(Butylazanediyl)di(ethan-1-ol)"
93924-32-4,CASRN,DTXSID001027312,"Foots oil (petroleum), clay-treated",N/A,93924-32-4,N/A,N/A,N/A
18621-94-8,CASRN,DTXSID9074355,Dilithium adipate,[Li+].[Li+].[O-]C(=O)CCCCC([O-])=O,18621-94-8,ZPJGNHUPXGDASP-UHFFFAOYSA-L,"InChI=1S/C6H10O4.2Li/c7-5(8)3-1-2-4-6(9)10;;/h1-4H2,(H,7,8)(H,9,10);;/q;2*+1/p-2
",Dilithium hexanedioate
16291-96-6,CASRN,DTXSID2051217,Charcoal,N/A,16291-96-6,N/A,N/A,N/A
64742-96-7,CASRN,DTXSID9028253,"Solvent naphtha, petroleum, heavy aliph.",N/A,64742-96-7,N/A,N/A,N/A
86087-23-2,CASRN,DTXSID50893863,(S)-(+)-3-Hydroxytetrahydrofuran,O[C@H]1CCOC1,86087-23-2,XDPCNPCKDGQBAN-BYPYZUCNSA-N,"InChI=1S/C4H8O2/c5-4-1-2-6-3-4/h4-5H,1-3H2/t4-/m0/s1
",(3S)-Oxolan-3-ol
55290-62-5,CASRN,DTXSID90886133,"Benzenesulfonamide, 4-[2-(1-butyl-5-cyano-1,6-dihydro-2-hydroxy-4-methyl-6-oxo-3-pyridinyl)diazenyl]-N-(2-ethylhexyl)-",CCCCC(CC)CNS(=O)(=O)C1=CC=C(C=C1)N=NC1=C(O)N(CCCC)C(=O)C(C#N)=C1C,55290-62-5,GRIJBPAOIJBRSI-UHFFFAOYSA-N,"InChI=1/C25H35N5O4S/c1-5-8-10-19(7-3)17-27-35(33,34)21-13-11-20(12-14-21)28-29-23-18(4)22(16-26)24(31)30(25(23)32)15-9-6-2/h11-14,19,27,32H,5-10,15,17H2,1-4H3
","4-[(1-Butyl-5-cyano-2-hydroxy-4-methyl-6-oxo-1,6-dihydropyridin-3-yl)diazenyl]-N-(2-ethylhexyl)benzene-1-sulfonamide"
65870-97-5,CASRN,DTXSID40893574,"1,1'-[Oxybis[2,2-bis[[(3,5,5-trimethyl-1-oxohexyl)oxy]methyl]-3,1-propanediyl]] 3,5,5-trimethyl-hexanoate",CC(CC(=O)OCC(COCC(COC(=O)CC(C)CC(C)(C)C)(COC(=O)CC(C)CC(C)(C)C)COC(=O)CC(C)CC(C)(C)C)(COC(=O)CC(C)CC(C)(C)C)COC(=O)CC(C)CC(C)(C)C)CC(C)(C)C,65870-97-5,GJIDQGCYINNRBJ-UHFFFAOYSA-N,"InChI=1/C64H118O13/c1-45(31-57(7,8)9)25-51(65)72-39-63(40-73-52(66)26-46(2)32-58(10,11)12,41-74-53(67)27-47(3)33-59(13,14)15)37-71-38-64(42-75-54(68)28-48(4)34-60(16,17)18,43-76-55(69)29-49(5)35-61(19,20)21)44-77-56(70)30-50(6)36-62(22,23)24/h45-50H,25-44H2,1-24H3
","3-[(3,5,5-Trimethylhexanoyl)oxy]-2-[(3-[(3,5,5-trimethylhexanoyl)oxy]-2,2-bis{[(3,5,5-trimethylhexanoyl)oxy]methyl}propoxy)methyl]-2-{[(3,5,5-trimethylhexanoyl)oxy]methyl}propyl 3,5,5-trimethylhexanoa
te"
144413-22-9,CASRN,DTXSID801035961,Complex reaction mass of Chinese gum rosin post reacted with Acrylic acid,N/A,144413-22-9,N/A,N/A,N/A
13870-28-5,CASRN,DTXSID50891889,Disodium disilicate,[Na+].[Na+].[O-][Si](=O)O[Si]([O-])=O,13870-28-5,OQEVSCYDUYRAAM-UHFFFAOYSA-N,"InChI=1S/2Na.O5Si2/c;;1-6(2)5-7(3)4/q2*+1;-2
","Disodium dioxodisiloxane-1,3-bis(olate)"
68515-47-9,CASRN,DTXSID0028664,C13-Rich di-C11-14-branched alkyl phthalates,N/A,68515-47-9,N/A,N/A,N/A
6440-58-0,CASRN,DTXSID8035217,"1,3-Dimethylol-5,5-dimethylhydantoin",CC1(C)N(CO)C(=O)N(CO)C1=O,6440-58-0,WSDISUOETYTPRL-UHFFFAOYSA-N,"InChI=1S/C7H12N2O4/c1-7(2)5(12)8(3-10)6(13)9(7)4-11/h10-11H,3-4H2,1-2H3
","1,3-Bis(hydroxymethyl)-5,5-dimethylimidazolidine-2,4-dione"
