INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,SMILES,CASRN,INCHIKEY,INCHI_STRING,IUPAC_NAME
16294-75-0,CASRN,DTXSID0066032,"14H-Anthra[2,1,9-mna]thioxanthen-14-one",O=C1C2=CC=CC=C2C2=CC=C3SC4=CC=CC=C4C4=CC=C1C2=C34,16294-75-0,NVNWZZLOQBHTCW-UHFFFAOYSA-N,"InChI=1S/C23H12OS/c24-23-17-7-2-1-5-13(17)15-11-12-20-22-16(9-10-18(23)21(15)22)14-6-3-4-8-19(14)25-20/h1-12H
","14H-Anthra[2,1,9-mna]thioxanthen-14-one"
66654-01-1,CASRN,DTXSID40726858,N-[3-(Dimethylamino)propyl]undec-10-enamide,CN(C)CCCNC(=O)CCCCCCCCC=C,66654-01-1,AYGYDSKVANLUER-UHFFFAOYSA-N,"InChI=1S/C16H32N2O/c1-4-5-6-7-8-9-10-11-13-16(19)17-14-12-15-18(2)3/h4H,1,5-15H2,2-3H3,(H,17,19)
",N-[3-(Dimethylamino)propyl]undec-10-enamide
56677-60-2,CASRN,DTXSID40205239,Tetradecyl chloroformate,CCCCCCCCCCCCCCOC(Cl)=O,56677-60-2,KQHBSKZGPQPRIT-UHFFFAOYSA-N,"InChI=1S/C15H29ClO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-18-15(16)17/h2-14H2,1H3
",Tetradecyl carbonochloridate
84592-32-5,CASRN,DTXSID301335156,"[5-(4-Hydroxy-2,6,6-trimethyl-3-oxo-1-cyclohexen-1-yl)-3-methyl-2,4-pentadien-1-yl]triphenylphosphonium bromide (1:1)",[Br-].CC(=CC[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)C=CC1=C(C)C(=O)C(O)CC1(C)C,84592-32-5,YLJIAWIWLCACLS-UHFFFAOYNA-M,"InChI=1/C33H36O2P.BrH/c1-25(20-21-30-26(2)32(35)31(34)24-33(30,3)4)22-23-36(27-14-8-5-9-15-27,28-16-10-6-11-17-28)29-18-12-7-13-19-29;/h5-22,31,34H,23-24H2,1-4H3;1H/q+1;/p-1
","[5-(4-Hydroxy-2,6,6-trimethyl-3-oxocyclohex-1-en-1-yl)-3-methylpenta-2,4-dien-1-yl](triphenyl)phosphanium bromide"
88-17-5,CASRN,DTXSID7058961,o-(Trifluoromethyl)aniline,NC1=C(C=CC=C1)C(F)(F)F,88-17-5,VBLXCTYLWZJBKA-UHFFFAOYSA-N,"InChI=1S/C7H6F3N/c8-7(9,10)5-3-1-2-4-6(5)11/h1-4H,11H2
",2-(Trifluoromethyl)aniline
84776-27-2,CASRN,DTXSID901036493,"Cinchona officinalis, ext.",N/A,84776-27-2,N/A,N/A,N/A
1369500-14-0,CASRN,DTXSID001035905,"(1R,4S,4aR,8aS)-9-(dichloromethylidene)octahydro-1,4-methanonaphthalene-5,8-dione",[H][C@]12CC[C@]([H])(C1=C(Cl)Cl)[C@@]1([H])C(=O)CCC(=O)[C@@]21[H],1369500-14-0,FGFGFQIDCXGUTD-OQLLUDSCNA-N,"InChI=1/C12H12Cl2O2/c13-12(14)9-5-1-2-6(9)11-8(16)4-3-7(15)10(5)11/h5-6,10-11H,1-4H2/t5-,6+,10+,11-
",N/A
71-48-7,CASRN,DTXSID6026373,Cobalt(II) acetate,[Co++].CC([O-])=O.CC([O-])=O,71-48-7,QAHREYKOYSIQPH-UHFFFAOYSA-L,"InChI=1S/2C2H4O2.Co/c2*1-2(3)4;/h2*1H3,(H,3,4);/q;;+2/p-2
",Cobalt(2+) diacetate
1471311-93-9,CASRN,DTXSID401074222,"2,5-Furandione, reaction products with 2-ethyl-1-hexanamine and triethanolamine",N/A,1471311-93-9,N/A,N/A,N/A
1308-14-1,CASRN,DTXSID0051651,Chromium trihydroxide,O[Cr](O)O,1308-14-1,VQWFNAGFNGABOH-UHFFFAOYSA-K,"InChI=1S/Cr.3H2O/h;3*1H2/q+3;;;/p-3
",Chromium(3+) trihydroxide
5307-14-2,CASRN,DTXSID4020957,"2-Nitro-1,4-phenylenediamine",NC1=CC(=C(N)C=C1)[N+]([O-])=O,5307-14-2,HVHNMNGARPCGGD-UHFFFAOYSA-N,"InChI=1S/C6H7N3O2/c7-4-1-2-5(8)6(3-4)9(10)11/h1-3H,7-8H2
","2-Nitrobenzene-1,4-diamine"
2451-62-9,CASRN,DTXSID4026262,"Tris(2,3-epoxypropyl)isocyanurate",O=C1N(CC2CO2)C(=O)N(CC2CO2)C(=O)N1CC1CO1,2451-62-9,OUPZKGBUJRBPGC-UHFFFAOYSA-N,"InChI=1/C12H15N3O6/c16-10-13(1-7-4-19-7)11(17)15(3-9-6-21-9)12(18)14(10)2-8-5-20-8/h7-9H,1-6H2
","1,3,5-Tris[(oxiran-2-yl)methyl]-1,3,5-triazinane-2,4,6-trione"
117-08-8,CASRN,DTXSID7026102,Tetrachlorophthalic anhydride,ClC1=C2C(=O)OC(=O)C2=C(Cl)C(Cl)=C1Cl,117-08-8,AUHHYELHRWCWEZ-UHFFFAOYSA-N,"InChI=1S/C8Cl4O3/c9-3-1-2(8(14)15-7(1)13)4(10)6(12)5(3)11
","4,5,6,7-Tetrachloro-2-benzofuran-1,3-dione"
5026-74-4,CASRN,DTXSID8027585,4-(Diglycidylamino)phenyl glycidyl ether,C(OC1=CC=C(C=C1)N(CC1CO1)CC1CO1)C1CO1,5026-74-4,AHIPJALLQVEEQF-UHFFFAOYSA-N,"InChI=1/C15H19NO4/c1-3-12(17-9-15-10-20-15)4-2-11(1)16(5-13-7-18-13)6-14-8-19-14/h1-4,13-15H,5-10H2
","4-[(Oxiran-2-yl)methoxy]-N,N-bis[(oxiran-2-yl)methyl]aniline"
393-85-1,CASRN,DTXSID60408886,Methyl 5-fluoro-2-nitrobenzoate,COC(=O)C1=C(C=CC(F)=C1)[N+]([O-])=O,393-85-1,LCAUVFVOLNRVKG-UHFFFAOYSA-N,"InChI=1S/C8H6FNO4/c1-14-8(11)6-4-5(9)2-3-7(6)10(12)13/h2-4H,1H3
",Methyl 5-fluoro-2-nitrobenzoate
117172-56-2,CASRN,DTXSID201044966,"1-Propanethiol, 3-(trimethoxysilyl)-, adduct with 5-isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane (1:1)",CO[Si](CCCS)(OC)OC.CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O,117172-56-2,DIKKUIZXSGRVBH-UHFFFAOYNA-N,"InChI=1/C12H18N2O2.C6H16O3SSi/c1-11(2)4-10(14-9-16)5-12(3,6-11)7-13-8-15;1-7-11(8-2,9-3)6-4-5-10/h10H,4-7H2,1-3H3;10H,4-6H2,1-3H3
",N/A
1195231-94-7,CASRN,DTXSID701335215,2-[Ethyl(4-nitrosophenyl)amino]ethyl [3-(triethoxysilyl)propyl]carbamate,CCO[Si](CCCNC(=O)OCCN(CC)C1=CC=C(C=C1)N=O)(OCC)OCC,1195231-94-7,WMYVWAHHCIQRLL-UHFFFAOYSA-N,"InChI=1S/C20H35N3O6Si/c1-5-23(19-12-10-18(22-25)11-13-19)15-16-26-20(24)21-14-9-17-30(27-6-2,28-7-3)29-8-4/h10-13H,5-9,14-17H2,1-4H3,(H,21,24)
",2-[Ethyl(4-nitrosophenyl)amino]ethyl [3-(triethoxysilyl)propyl]carbamate
69012-50-6,CASRN,DTXSID20102878,"Matte, nickel",N/A,69012-50-6,N/A,N/A,N/A
822-06-0,CASRN,DTXSID4024143,"1,6-Diisocyanatohexane",O=C=NCCCCCCN=C=O,822-06-0,RRAMGCGOFNQTLD-UHFFFAOYSA-N,"InChI=1S/C8H12N2O2/c11-7-9-5-3-1-2-4-6-10-8-12/h1-6H2
","1,6-Diisocyanatohexane"
163149-28-8,CASRN,DTXSID70106987,"1-Dodecene, polymer with 1-decene and 1-octene, hydrogenated",N/A,163149-28-8,N/A,N/A,N/A
60-24-2,CASRN,DTXSID4026343,2-Mercaptoethanol,OCCS,60-24-2,DGVVWUTYPXICAM-UHFFFAOYSA-N,"InChI=1S/C2H6OS/c3-1-2-4/h3-4H,1-2H2
",2-Sulfanylethan-1-ol
104617-49-4,CASRN,DTXSID60909060,"2-Imino-2,3,4,5,6,7-hexahydro-1,3-benzothiazol-6-amine",NC1CCC2=C(C1)SC(=N)N2,104617-49-4,DRRYZHHKWSHHFT-UHFFFAOYSA-N,"InChI=1/C7H11N3S/c8-4-1-2-5-6(3-4)11-7(9)10-5/h4H,1-3,8H2,(H2,9,10)
","2-Imino-2,3,4,5,6,7-hexahydro-1,3-benzothiazol-6-amine"
1066-30-4,CASRN,DTXSID4020327,Chromium triacetate,[Cr+3].CC([O-])=O.CC([O-])=O.CC([O-])=O,1066-30-4,WYYQVWLEPYFFLP-UHFFFAOYSA-K,"InChI=1S/3C2H4O2.Cr/c3*1-2(3)4;/h3*1H3,(H,3,4);/q;;;+3/p-3
",Chromium(3+) triacetate
1300-71-6,CASRN,DTXSID8027375,Dimethylphenol,"C*.C*.OC1=CC=CC=C1 |c:5,7,t:3,lp:4:2,m:1:9.10,3:6.7.8.9|",1300-71-6,N/A,N/A,N/A
24887-06-7,CASRN,DTXSID60893470,(T-4)-Bis[1-(hydroxy-kappa O)methanesulfinato-kappa O]zinc,[Zn++].OCS([O-])=O.OCS([O-])=O,24887-06-7,CAAIULQYGCAMCD-UHFFFAOYNA-L,"InChI=1/2CH4O3S.Zn/c2*2-1-5(3)4;/h2*2H,1H2,(H,3,4);/q;;+2/p-2
",Bis[(hydroxy-kappaO)methanesulfinato-kappaO]zinc
58909-56-1,CASRN,DTXSID20974411,"7-Amino-3-{[(2-methyl-5,6-dioxo-1,2,5,6-tetrahydro-1,2,4-triazin-3-yl)sulfanyl]methyl}-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",[H][C@@]1(N)C(=O)N2C(C(O)=O)=C(CSC3=NC(=O)C(=O)NN3C)CSC12[H],58909-56-1,YTUNICCSPPTMJY-UYBGKAFVSA-N,"InChI=1S/C12H13N5O5S2/c1-16-12(14-7(18)8(19)15-16)24-3-4-2-23-10-5(13)9(20)17(10)6(4)11(21)22/h5,10H,2-3,13H2,1H3,(H,15,19)(H,21,22)/t5-,10?/m1/s1
","(7R)-7-Amino-3-{[(2-methyl-5,6-dioxo-1,2,5,6-tetrahydro-1,2,4-triazin-3-yl)sulfanyl]methyl}-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid"
897671-34-0,CASRN,DTXSID201045095,"3-Thiophenecarboxylic acid, 4-(isocyanatosulfonyl)-5-methyl-, methyl ester",COC(=O)C1=CSC(C)=C1S(=O)(=O)N=C=O,897671-34-0,FFCIPXJXUSHWCI-UHFFFAOYSA-N,"InChI=1S/C8H7NO5S2/c1-5-7(16(12,13)9-4-10)6(3-15-5)8(11)14-2/h3H,1-2H3
",N/A
7195-44-0,CASRN,DTXSID20992650,Diglycidyl terephthalate,O=C(OCC1CO1)C1=CC=C(C=C1)C(=O)OCC1CO1,7195-44-0,NEPKLUNSRVEBIX-UHFFFAOYSA-N,"InChI=1/C14H14O6/c15-13(19-7-11-5-17-11)9-1-2-10(4-3-9)14(16)20-8-12-6-18-12/h1-4,11-12H,5-8H2
","Bis[(oxiran-2-yl)methyl] benzene-1,4-dicarboxylate"
3164-34-9,CASRN,DTXSID50883961,Calcium tartrate,[Ca++].O[C@H]([C@@H](O)C([O-])=O)C([O-])=O,3164-34-9,GUPPESBEIQALOS-ZVGUSBNCSA-L,"InChI=1S/C4H6O6.Ca/c5-1(3(7)8)2(6)4(9)10;/h1-2,5-6H,(H,7,8)(H,9,10);/q;+2/p-2/t1-,2-;/m1./s1
","Calcium (2R,3R)-2,3-dihydroxybutanedioate"
68647-95-0,CASRN,DTXSID90100629,"Fatty acids, C18-unsatd., dimers, compds. with coco alkylamines",N/A,68647-95-0,N/A,N/A,N/A
82654-98-6,CASRN,DTXSID2072881,"Phenol, 4-(butoxymethyl)-2-methoxy-",CCCCOCC1=CC=C(O)C(OC)=C1,82654-98-6,VLDFMKOUUQYFGF-UHFFFAOYSA-N,"InChI=1S/C12H18O3/c1-3-4-7-15-9-10-5-6-11(13)12(8-10)14-2/h5-6,8,13H,3-4,7,9H2,1-2H3
",4-(Butoxymethyl)-2-methoxyphenol
7789-80-2,CASRN,DTXSID301014485,"Iodic acid (HIO3), calcium salt (2:1)",[O--].[O--].[O--].[O--].[O--].[O--].[Ca++].[I-].[I-],7789-80-2,AEGVMWGRXRYRNZ-UHFFFAOYSA-L,"InChI=1S/Ca.2HI.6O/h;2*1H;;;;;;/q+2;;;6*-2/p-2
",N/A
866607-35-4,CASRN,DTXSID501045094,"(1S)-1,5-Anhydro-1-C-[3-[[5-(4-fluorophenyl)-2-thienyl]methyl]-4-methylphenyl]-D-glucitol 2,3,4,6-tetraacetate",CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O)C1=CC(CC2=CC=C(S2)C2=CC=C(F)C=C2)=C(C)C=C1,866607-35-4,XYBGJUIUCFENGS-IFUGWHCZSA-N,"InChI=1S/C32H33FO9S/c1-17-6-7-23(14-24(17)15-26-12-13-28(43-26)22-8-10-25(33)11-9-22)29-31(40-20(4)36)32(41-21(5)37)30(39-19(3)35)27(42-29)16-38-18(2)34/h6-14,27,29-32H,15-16H2,1-5H3/t27-,29+,30-,31+,32+/m1/s1
",N/A
89452-37-9,CASRN,DTXSID30909315,Bis[4-(diphenylsulfonio)phenyl] sulfide bis(hexafluoroantimonate),F[Sb-](F)(F)(F)(F)F.F[Sb-](F)(F)(F)(F)F.S(C1=CC=C(C=C1)[S+](C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=C(C=C1)[S+](C1=CC=CC=C1)C1=CC=CC=C1,89452-37-9,DREXYWKFHDOSNT-UHFFFAOYSA-B,"InChI=1S/C36H28S3.12FH.2Sb/c1-5-13-31(14-6-1)38(32-15-7-2-8-16-32)35-25-21-29(22-26-35)37-30-23-27-36(28-24-30)39(33-17-9-3-10-18-33)34-19-11-4-12-20-34;;;;;;;;;;;;;;/h1-28H;12*1H;;/q+2;;;;;;;;;;;;;2*+5/p-12
","[Sulfanediyldi(4,1-phenylene)]bis(diphenylsulfanium) bis[hexafluoridoantimonate(1-)]"
88992-45-4,CASRN,DTXSID50892533,6:2 Fluorotelomer thiohydroxy ammonium chloride,[Cl-].C[N+](C)(C)CC(O)CSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,88992-45-4,AATYNBPIINGGLV-UHFFFAOYSA-M,"InChI=1/C14H19F13NOS.ClH/c1-28(2,3)6-8(29)7-30-5-4-9(15,16)10(17,18)11(19,20)12(21,22)13(23,24)14(25,26)27;/h8,29H,4-7H2,1-3H3;1H/q+1;/p-1
","2-Hydroxy-N,N,N-trimethyl-3-[(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)sulfanyl]propan-1-aminium chloride"
2997-92-4,CASRN,DTXSID3049756,"2,2'-Azobis(2-amidinopropane) dihydrochloride",Cl.Cl.CC(C)(N=NC(C)(C)C(N)=N)C(N)=N,2997-92-4,LXEKPEMOWBOYRF-UHFFFAOYSA-N,"InChI=1S/C8H18N6.2ClH/c1-7(2,5(9)10)13-14-8(3,4)6(11)12;;/h1-4H3,(H3,9,10)(H3,11,12);2*1H
","2,2'-Diazenediylbis(2-methylpropanimidamide)--hydrogen chloride (1/2)"
2403-89-6,CASRN,DTXSID3044411,"1,2,2,6,6-Pentamethylpiperidin-4-ol",CN1C(C)(C)CC(O)CC1(C)C,2403-89-6,NWHNXXMYEICZAT-UHFFFAOYSA-N,"InChI=1S/C10H21NO/c1-9(2)6-8(12)7-10(3,4)11(9)5/h8,12H,6-7H2,1-5H3
","1,2,2,6,6-Pentamethylpiperidin-4-ol"
6485-40-1,CASRN,DTXSID7041413,R-(-)-Carvone,CC(=C)[C@@H]1CC=C(C)C(=O)C1,6485-40-1,ULDHMXUKGWMISQ-SECBINFHSA-N,"InChI=1S/C10H14O/c1-7(2)9-5-4-8(3)10(11)6-9/h4,9H,1,5-6H2,2-3H3/t9-/m1/s1
",(5R)-2-Methyl-5-(prop-1-en-2-yl)cyclohex-2-en-1-one
736150-63-3,CASRN,DTXSID90109536,"Glycerides, castor-oil mono-, hydrogenated, acetates",N/A,736150-63-3,N/A,N/A,N/A
61790-48-5,CASRN,DTXSID1028100,"Sulfonic acids, petroleum, barium salts",N/A,61790-48-5,N/A,N/A,N/A
120-46-7,CASRN,DTXSID3041247,"1,3-Diphenyl-1,3-propanedione",O=C(CC(=O)C1=CC=CC=C1)C1=CC=CC=C1,120-46-7,NZZIMKJIVMHWJC-UHFFFAOYSA-N,"InChI=1S/C15H12O2/c16-14(12-7-3-1-4-8-12)11-15(17)13-9-5-2-6-10-13/h1-10H,11H2
","1,3-Diphenylpropane-1,3-dione"
7758-89-6,CASRN,DTXSID5035242,Copper(I) chloride,[Cl-].[Cu+],7758-89-6,OXBLHERUFWYNTN-UHFFFAOYSA-M,"InChI=1S/ClH.Cu/h1H;/q;+1/p-1
",Copper(1+) chloride
106264-79-3,CASRN,DTXSID501016306,"1,3-Benzenediamine, 2(or 4)-methyl-4,6(or 2,6)-bis(methylthio)-",N/A,106264-79-3,N/A,N/A,N/A
351197-46-1,CASRN,DTXSID60698427,"2-[2-(Dimethylamino)ethoxy]ethyl ({5-[({2-[2-(dimethylamino)ethoxy]ethoxy}carbonyl)amino]-1,3,3-trimethylcyclohexyl}methyl)carbamate",CN(C)CCOCCOC(=O)NCC1(C)CC(CC(C)(C)C1)NC(=O)OCCOCCN(C)C,351197-46-1,ALANNFAXTFZBEG-UHFFFAOYSA-N,"InChI=1/C24H48N4O6/c1-23(2)16-20(26-22(30)34-15-13-32-11-9-28(6)7)17-24(3,18-23)19-25-21(29)33-14-12-31-10-8-27(4)5/h20H,8-19H2,1-7H3,(H,25,29)(H,26,30)
","2-[2-(Dimethylamino)ethoxy]ethyl ({5-[({2-[2-(dimethylamino)ethoxy]ethoxy}carbonyl)amino]-1,3,3-trimethylcyclohexyl}methyl)carbamate"
37441-29-5,CASRN,DTXSID20190891,"5-Amino-2,4,6-triiodoisophthaloyl dichloride",NC1=C(I)C(C(Cl)=O)=C(I)C(C(Cl)=O)=C1I,37441-29-5,FBJVWRITWDYUAC-UHFFFAOYSA-N,"InChI=1S/C8H2Cl2I3NO2/c9-7(15)1-3(11)2(8(10)16)5(13)6(14)4(1)12/h14H2
","5-Amino-2,4,6-triiodobenzene-1,3-dicarbonyl dichloride"
69012-24-4,CASRN,DTXSID20102853,"Wastewater, zinc sulfate electrolytic, acid",N/A,69012-24-4,N/A,N/A,N/A
2210-79-9,CASRN,DTXSID8024862,o-Cresyl glycidyl ether,CC1=CC=CC=C1OCC1CO1,2210-79-9,KFUSXMDYOPXKKT-UHFFFAOYSA-N,"InChI=1/C10H12O2/c1-8-4-2-3-5-10(8)12-7-9-6-11-9/h2-5,9H,6-7H2,1H3
",2-[(2-Methylphenoxy)methyl]oxirane
98072-60-7,CASRN,DTXSID101064446,"Slags, precious metal refining",N/A,98072-60-7,N/A,N/A,N/A
84649-98-9,CASRN,DTXSID001018369,Cinnamomum zeylanicum extract,N/A,84649-98-9,N/A,N/A,N/A
793-24-8,CASRN,DTXSID9025114,6PPD,CC(C)CC(C)NC1=CC=C(NC2=CC=CC=C2)C=C1,793-24-8,ZZMVLMVFYMGSMY-UHFFFAOYSA-N,"InChI=1/C18H24N2/c1-14(2)13-15(3)19-17-9-11-18(12-10-17)20-16-7-5-4-6-8-16/h4-12,14-15,19-20H,13H2,1-3H3
","N~1~-(4-Methylpentan-2-yl)-N~4~-phenylbenzene-1,4-diamine"
8007-24-7,CASRN,DTXSID1027681,Cashew nutshell liquid (CNSL),N/A,8007-24-7,N/A,N/A,N/A
818-61-1,CASRN,DTXSID2022123,2-Hydroxyethyl acrylate,OCCOC(=O)C=C,818-61-1,OMIGHNLMNHATMP-UHFFFAOYSA-N,"InChI=1S/C5H8O3/c1-2-5(7)8-4-3-6/h2,6H,1,3-4H2
",2-Hydroxyethyl prop-2-enoate
15625-89-5,CASRN,DTXSID0027773,Trimethylolpropane triacrylate,CCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,15625-89-5,DAKWPKUUDNSNPN-UHFFFAOYSA-N,"InChI=1S/C15H20O6/c1-5-12(16)19-9-15(8-4,10-20-13(17)6-2)11-21-14(18)7-3/h5-7H,1-3,8-11H2,4H3
","2,2-Bis{[(prop-2-enoyl)oxy]methyl}butyl prop-2-enoate (non-preferred name)"
09-07-7705,Searched by Synonym: Found 0 results,N/A,N/A,N/A,N/A,N/A,N/A,N/A
35044-59-8,CASRN,DTXSID6067884,"1,3-Cyclohexadiene-1-carboxylic acid, 2,6,6-trimethyl-, ethyl ester",CCOC(=O)C1=C(C)C=CCC1(C)C,35044-59-8,KYEZYLFPHRVFBF-UHFFFAOYSA-N,"InChI=1S/C12H18O2/c1-5-14-11(13)10-9(2)7-6-8-12(10,3)4/h6-7H,5,8H2,1-4H3
","Ethyl 2,6,6-trimethylcyclohexa-1,3-diene-1-carboxylate"
02-08-5872,Searched by Synonym: Found 0 results,N/A,N/A,N/A,N/A,N/A,N/A,N/A
