CASRN,Canonical_QSARr
832088-68-3,CC(C)(C1C=CC(=CC=1)C#CCCN1CCC(CC1)C(O)(C1C=CC=CC=1)C1C=CC=CC=1)C(O)=O
1383706-71-5,COC1N=C(N=C(N=1)OC)C1C(=O)NC2C(F)=CC=CC=21
123-99-9,OC(=O)CCCCCCCC(O)=O
1694-31-1,CC(=O)CC(=O)OC(C)(C)C
84418-68-8,CC(C)(C)CCCCCC(O)=O
24851-98-7,CCCCCC1C(CCC1=O)CC(=O)OC
1569-02-4,CCOCC(C)O
67801-20-1,CC(C=CC1CC=C(C)C1(C)C)C(C)O
6271-80-3,[O-][N+](=O)C1=CC=CC=C1C1C=CC(Cl)=CC=1
50-78-2,CC(=O)OC1C=CC=CC=1C(O)=O
77501-63-4,CCOC(=O)C(C)OC(=O)C1C=C(C=CC=1[N+]([O-])=O)OC1C=CC(=CC=1Cl)C(F)(F)F
3089-17-6,O=C1C2=CC3NC4=CC=C(Cl)C=C4C(=O)C=3C=C2NC2=CC=C(Cl)C=C12
37439-34-2,OC1N=C(Cl)C(Cl)=CC=1Cl
5534-13-4,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(OC(=O)CC)C(=O)CO
17527-29-6,C=CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
100-68-5,CSC1C=CC=CC=1
83-73-8,OC1=C2N=CC=CC2=C(I)C=C1I
877179-04-9,NC1C=CC(F)=CC=1C1=CC(Cl)=C(Cl)C=C1
26479-35-6,NC(=O)NC(O)=O
355-04-4,FC(C(F)(F)C(F)(F)C(F)(F)F)(C(F)(F)F)C(F)(F)F
598-50-5,CNC(N)=O
16470-24-9,OS(=O)(=O)C1C=C(C=CC=1C=CC1C=CC(=CC=1S(O)(=O)=O)NC1N=C(NC2C=CC(=CC=2)S(O)(=O)=O)N=C(N=1)N(CCO)CCO)NC1N=C(NC2C=CC(=CC=2)S(O)(=O)=O)N=C(N=1)N(CCO)CCO
99607-70-2,CCCCCC(C)OC(=O)COC1=CC=C(Cl)C2=CC=CN=C12
10081-67-1,CC(C)(C1C=CC(=CC=1)NC1C=CC(=CC=1)C(C)(C)C1C=CC=CC=1)C1C=CC=CC=1
89331-94-2,CC1=CC2OC3C=C(C=CC=3C3(OC(=O)C4C=CC=CC3=4)C=2C=C1NC1C=CC=CC=1)N(CCCC)CCCC
220410-74-2,CC1(C)CC(O)CC(C)(C)N1O
128-04-1,CN(C)C(S)=S
3741-80-8,CC(C)(C)N(SC1=NC2C=CC=CC=2S1)SC1=NC2C=CC=CC=2S1
117-08-8,O=C1OC(=O)C2C1=C(Cl)C(Cl)=C(Cl)C=2Cl
7078-98-0,CC(C)(C)C1=CC(C=C(C1=O)C(C)(C)C)=CC1C=CC=CC=1
120118-14-1,CC1C=CC(=CC=1)C1NC(C#N)=NC=1Cl
135302-13-5,COC1N=NC(=O)N1C
530-48-3,C=C(C1C=CC=CC=1)C1C=CC=CC=1
433733-92-7,CC1=CN2C3OC(CO)C(O)C3OC2=NC1=O
3720-16-9,CC1CC(CCC)CC(=O)C=1
75-57-0,C[N+](C)(C)C
874819-71-3,NP(N)(=O)NC1=CC=CC=C1[N+]([O-])=O
97-59-6,NC(=O)NC1NC(=O)NC1=O
109-43-3,CCCCOC(=O)CCCCCCCCC(=O)OCCCC
434-03-7,CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2(O)C#C
74149-72-7,CC(CC(=O)OC)C(=O)C1=CC(=C(C=C1)NC(=O)C1C=CC(=CC=1)OC)[N+]([O-])=O
107-98-2,COCC(C)O
980-26-7,CC1=CC2=C(C=C1)NC1=CC3=C(C=C1C2=O)NC1=CC=C(C)C=C1C3=O
18637-00-8,CCOC1=CC=CC=C1C(N)=N
96383-55-0,C=C(Cl)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
24863-70-5,CCCCCC1=C(CCC1=O)CC(=O)OC
599-64-4,CC(C)(C1C=CC=CC=1)C1C=CC(O)=CC=1
1432505-97-9,CC1C=CC(=CC=1)S(=O)(=O)OC1=CC=CC=C1C(=O)OC
59130-69-7,CCC(CCCC)C(=O)OCCCCCCCCCCCCCCCC
5945-33-5,CC(C)(C1C=CC(=CC=1)OP(=O)(OC1C=CC=CC=1)OC1C=CC=CC=1)C1C=CC(=CC=1)OP(=O)(OC1C=CC=CC=1)OC1C=CC=CC=1
736-30-1,[O-][N+](=O)C1C=CC(CCC2C=CC(=CC=2)[N+]([O-])=O)=CC=1
78620-07-2,OOP(O)(=O)CC(O)=O
117646-83-0,CCCCC(COCCOCCOC(=O)C=C)CC
142-17-6,CCCCCCCCC=CCCCCCCCC(O)=O
13052-09-0,CC(C)(CCC(C)(C)OOC(=O)C(CCCC)CC)OOC(=O)C(CCCC)CC
130841-23-5,[O-][N+](=O)C1=CC(Cl)=C(C=C1Cl)OC(F)(F)C(F)C(F)(F)F
93-68-5,CC(=O)CC(=O)NC1C=CC=CC=1C
84-74-2,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC
59-42-7,CNCC(O)C1C=C(O)C=CC=1
105-75-9,CCCCOC(=O)C=CC(=O)OCCCC
24088-77-5,CC1=CC2OC(=O)NC(=O)C=2C=C1
1638-86-4,CCOP(OCC)C1C=CC=CC=1
4273-92-1,COC1=CC(NC(=O)C2C=C3C=CC=CC3=CC=2O)=C(C=C1Cl)OC
129332-29-2,CC(C)N1C2C=CC=CC=2C(=C1C=CC(O)CC(O)CC(=O)OC(C)(C)C)C1=CC=C(F)C=C1
3598-16-1,OC(=O)COC1C=CC=CC=1
40573-09-9,FC(F)(F)OC(F)(F)C(F)(F)C(F)(F)OC(F)=C(F)F
118-82-1,CC(C)(C)C1=CC(CC2=CC(=C(O)C(=C2)C(C)(C)C)C(C)(C)C)=CC(=C1O)C(C)(C)C
98-53-3,CC(C)(C)C1CCC(=O)CC1
91-96-3,CC1C=C(C=CC=1NC(=O)CC(C)=O)C1C=C(C)C(=CC=1)NC(=O)CC(C)=O
1119-40-0,COC(=O)CCCC(=O)OC
26591-72-0,C[N+]1=CN(C=C)C=C1
61007-89-4,OC1C=CC=CC=1C=NCCN(CCN=CC1C=CC=CC=1O)CCN=CC1C=CC=CC=1O
69322-01-6,OC1C=CC(=CC=1)C(O)C(O)=O
192389-48-3,CCOC(=O)CC(NCCC[Si](OC)(OC)OC)C(=O)OCC
382-28-5,FC(F)(F)N1C(F)(F)C(F)(F)OC(F)(F)C1(F)F
494799-36-9,OC(=O)C1C=C2NC=C(C3CCCC3)C2=CC=1
13361-34-7,CCCCC(COC(=O)CC#N)CC
16669-27-5,CC(=C)C(=O)OCCCCCCCCCCCCCCCCCCCCCC
1187-74-2,CC(=O)CC(CC(=O)OCC)C(=O)OCC
7365-45-9,OCCN1CCN(CCS(O)(=O)=O)CC1
1253791-42-2,CC(C)OC(=O)C1C=C2C(=CC=1)C(C1CCCC1)=C(Br)N2C
24544-08-9,CC1C=C(CC)C(N)=C(CC)C=1
542-02-9,CC1N=C(N)N=C(N)N=1
125109-85-5,CC(C)C1=CC(=CC=C1)C(C)CC=O
15571-48-9,CC(C)O
66918-01-2,CC(CC(C)(C)C)C(COC(=O)C(O)CC(=O)OCC(CCC(C)CC(C)(C)C)C(C)CC(C)(C)C)CCC(C)CC(C)(C)C
1015689-48-1,COC1C=C(C=CC=1OC(=O)C1C=CC(=CC=1)OC(=O)C=C)C(=O)OC1COC2C1OCC2OC(=O)C1=CC(OC)=C(C=C1)OC(=O)C1C=CC(=CC=1)OC(=O)C=C
198479-63-9,CC1=C(NC2C=CC(=CC=21)OCC1C=CC=CC=1)C1C=CC(=CC=1)OCC1C=CC=CC=1
109-78-4,N#CCCO
1797437-47-8,COC1C=CC(Cl)=CC=1P(C1C=C(Cl)C=CC=1OC)C1C=C(Cl)C=CC=1OC
631-61-8,CC(O)=O
217308-07-1,OC(=O)C(O)C1C=CC=CC=1
61444-38-0,CCC=CCC(=O)OCCC=CCC
709031-43-6,CC(C)(C)OC(=O)NC(C(=O)N1C2CC2CC1C#N)C12CC3(O)CC(C1)CC(C2)C3
103335-54-2,CC12CCC3C(CCC4=NC(=O)CCC43C)C1CCC2C(O)=O
4454-16-4,CCCCC(CC)C(O)=O
2414-98-4,CCO
7450-69-3,NP(N)(=O)OC1C=CC=CC=1
84-65-1,O=C1C2C=CC=CC=2C(=O)C2C=CC=CC1=2
307-34-6,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
24085-06-1,CC(=O)OC1C=CC(=CC=1COC(C)=O)C(C)=O
1445870-18-7,CC(CC(C)(C)C)CC(=O)OCCN1C(C)(C)CC(CC1(C)C)OC(=O)CC(C)CC(C)(C)C
497-18-7,NNC(=O)NN
1253789-90-0,CC(C)OC(=O)C1=CC2=C(C=C1)C(=CN2C)C1CCCC1
371756-75-1,CC(O)CN(CC(C)O)C1N=C(NC2C=C(C(C=CC3C=CC(=CC=3S(O)(=O)=O)NC3=NC(=NC(NC4C=C(C=CC=4S(O)(=O)=O)S(O)(=O)=O)=N3)N(CC(C)O)CC(C)O)=CC=2)S(O)(=O)=O)N=C(NC2C=C(C=CC=2S(O)(=O)=O)S(O)(=O)=O)N=1
214417-91-1,CC(C)CC(C)N=NC(=O)C1=CC2C=CC=CC=2C=C1O
143390-89-0,CC1C=CC=CC=1OCC1C=CC=CC=1C(=NOC)C(=O)OC
533-96-0,OC(O)=O
119-47-1,CC(C)(C)C1=CC(C)=CC(CC2=CC(C)=CC(=C2O)C(C)(C)C)=C1O
26184-62-3,CCCC(C)O
41263-74-5,CNC1C=CC(=CC=1[N+]([O-])=O)C(O)=O
19694-10-1,NC1=CC(=CC=C1Cl)C(N)=O
732-26-3,CC(C)(C)C1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C
88949-33-1,O=C1N=C(C2C1=C(NC2=O)C1C=CC(=CC=1)C1C=CC=CC=1)C1C=CC(=CC=1)C1C=CC=CC=1
14352-61-5,COC(=O)CC1CCCCC1
3159-62-4,CCCCCCC(O)CCCCCCCCCCC(O)=O
85-27-8,CC(C1C=CC(O)=CC=1O)C1C=CC=CC=1
36968-27-1,COC1C=CC=CC=1NC(=O)C1C=C2C=CC=CC2=C(N=NC2C=CC(=CC=2)C(N)=O)C=1O
42233-75-0,CCCCCCCCCCCCCCCCCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCCCCCCCCCCCCCCCC
120-35-4,COC1C=CC(=CC=1N)C(=O)NC1C=CC=CC=1
4151-51-3,O=C=NC1C=CC(=CC=1)OP(=S)(OC1C=CC(=CC=1)N=C=O)OC1C=CC(=CC=1)N=C=O
1435-71-8,CC1=CC(N=NC2C=CC=CC=2[N+]([O-])=O)=C(O)C=C1
4488-57-7,C1C=CC2C1C1CC2CC1
697235-49-7,OC(=O)C1=CC=CC=C1NC(=O)CCC1C=CC(O)=CC=1
1458-18-0,COC(=O)C1=NC(Cl)=C(Cl)N=C1N
55699-10-0,CC(C)(C)C1C=C(C)C(CC#N)=C(C)C=1O
204277-61-2,CC(=O)NC1C=C(C(=CC=1N=NC1C(Cl)=CC(=CC=1C#N)[N+]([O-])=O)OC)N(CC(=O)OC)C(C)C(=O)OC
59487-23-9,COC1=CC(OC)=C(Cl)C=C1NC(=O)C1=CC2=CC=CC=C2C(N=NC2=CC(=CC=C2OC)C(=O)NC2C=CC(=CC=2)C(N)=O)=C1O
111850-24-9,CC(CC)C1=CC(=CC(C(C)CC)=C1O)N=NC1C=CC(=CC=1)[N+]([O-])=O
67874-37-7,CC(C)CCCCCCCCCCOP(OC1C=CC=CC=1)OCCCCCCCCCCC(C)C
2986-54-1,COC1CCCCCCCCCCC1
54839-24-6,CCOCC(C)OC(C)=O
6962-44-3,CC1C=C(NC(C)=O)C(=CC=1)OC
55514-22-2,C1=CC(=CC=C1C1N=C(C(=NN=1)C1C=CC=CC=1)C1C=CC=CC=1)C1N=C(C(=NN=1)C1C=CC=CC=1)C1C=CC=CC=1
135861-56-2,CC1=CC=C(C=C1C)C1OCC2OC(OC(C2O1)C(O)CO)C1C=C(C)C(C)=CC=1
101-80-4,NC1C=CC(=CC=1)OC1C=CC(N)=CC=1
6092-54-2,CCCCCCOC(=O)Cl
1231148-36-9,C1OC2=CC=CC=C2N=C=NC2=CC=CC=C2OCC21COC1=CC=CC=C1N=C=NC1=CC=CC=C1OC2
52-90-4,NC(CS)C(O)=O
2512-29-0,CC(=O)C(N=NC1=CC=C(C)C=C1[N+]([O-])=O)C(=O)NC1C=CC=CC=1
111439-76-0,CC(C)[Si](CC(C)C)(OC)OC
1671-49-4,CC1C=CC(=CC=1[N+]([O-])=O)S(C)(=O)=O
1364731-90-7,CC1C=CC=C(C)C=1OS(=O)(=O)C1C=CC(O)=CC=1
924-42-5,C=CC(=O)NCO
827-52-1,C1CCCCC1C1C=CC=CC=1
306-94-5,FC1(F)C2(F)C(F)(C(F)(F)C(F)(F)C1(F)F)C(F)(F)C(F)(F)C(F)(F)C2(F)F
112-18-5,CCCCCCCCCCCCN(C)C
108-32-7,CC1COC(=O)O1
7319-16-6,CC=COC
72901-31-6,CCCCCCCCC=CCCCCCCCC(=O)NCCCCCCCCC=CCCCCCCCC
109884-54-0,CC(C)(COC(=O)CCCCCCCCCC(C)CCCC(C)C)COC(=O)CCCCCCCCCC(C)CCCC(C)C
18742-02-4,BrCCC1OCCO1
1447712-18-6,CC1=CCC(CCC)CC1=O
1052075-57-6,CC(=C)C(=O)OCCOCCC[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)CCCC
1071-93-8,NNC(=O)CCCCC(=O)NN
119851-28-4,CC(=O)C1C=CC(=CC=1Cl)OC1C=CC(Cl)=CC=1
39903-01-0,NC1N=CC(Br)=CC=1O
1231728-34-9,CC(CC(O)=O)CC(C)(C)C
507448-65-9,CCOC(=O)CC(=NC)C(F)(F)F
5488-51-7,CC12CCC3C(=CC=C4CC5(CCC43C)OCCO5)C1CCC2C1(C)OCCO1
95-73-8,CC1=CC=C(Cl)C=C1Cl
10309-37-2,CC(C)=CCCC(C)(C=C)C=CC1C=CC(O)=CC=1
97-36-9,CC(=O)CC(=O)NC1=CC=C(C)C=C1C
1927-95-3,CC(=O)OC1C=CC(Br)=CC=1
10543-57-4,CC(=O)N(CCN(C(C)=O)C(C)=O)C(C)=O
10420-33-4,CC(=O)C(CC(=O)OC)C(=O)OC
99-08-1,CC1=CC(=CC=C1)[N+]([O-])=O
22094-93-5,CC(=O)C(N=NC1C=C(Cl)C(=CC=1Cl)C1C=C(Cl)C(=CC=1Cl)N=NC(C(=O)NC1=CC=C(C)C=C1C)C(C)=O)C(=O)NC1=CC=C(C)C=C1C
187393-00-6,COC1C=CC(=CC=1)C1N=C(N=C(N=1)C1=CC=C(C=C1O)OCC(CCCC)CC)C1C=CC(=CC=1O)OCC(CCCC)CC
31837-42-0,CC(=O)C(N=NC1=CC=CC=C1C(O)=O)C(=O)NC1=CC2NC(=O)NC=2C=C1
70280-68-1,C[Si](CCCOCC(O)CO)(O[Si](C)(C)C)O[Si](C)(C)C
126050-54-2,CCC(COP1OC2C(=CC(=CC=2CC2C=C(C=C(C=2O1)C(C)(C)C)C(C)(C)C)C(C)(C)C)C(C)(C)C)CCCC
6197-30-4,CCCCC(COC(=O)C(C#N)=C(C1C=CC=CC=1)C1C=CC=CC=1)CC
745070-61-5,CC(C)(C)C(=O)NC1C=C(C=C(C=1)NC(=O)C(C)(C)C)NC(=O)C(C)(C)C
1378867-81-2,CC(C)C1CC=C(CC1)CCC=O
5447-86-9,CC1(C)C2=CC=CC=C2C(=O)C2=CC=CC=C12
72681-01-7,CC(CCC1C=CC=CC=1)CC(C)O
6334-25-4,OCCN(CCO)C(=O)CCCCC(=O)N(CCO)CCO
5613-46-7,CC(C)(C1=CC(C)=C(O)C(C)=C1)C1=CC(C)=C(O)C(C)=C1
873888-84-7,CCC=CCC(C)OC(=O)C1C=CC=CC=1O
106-70-7,CCCCCC(=O)OC
36097-07-1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCSCCCCS
118-60-5,CCCCC(COC(=O)C1C=CC=CC=1O)CC
3238-40-2,OC(=O)C1=CC=C(O1)C(O)=O
73-32-5,CC(CC)C(N)C(O)=O
58-22-0,CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2O
51981-21-6,OC(=O)CCC(C(O)=O)N(CC(O)=O)CC(O)=O
15245-44-0,[O-][N+](=O)C1=C(O)C(=CC(=C1O)[N+]([O-])=O)[N+]([O-])=O
620-67-7,CCCCCCC(=O)OC(COC(=O)CCCCCC)COC(=O)CCCCCC
102340-61-4,CC1C=C(C=C2CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)OC=12)OC1OC(CO)C(O)C(O)C1O
1354632-48-6,CC(=O)NC1C=C(N)C(=CC=1N=NC1C=C(C=CC=1)S(=O)(=O)CCOS(O)(=O)=O)S(O)(=O)=O
93-58-3,COC(=O)C1C=CC=CC=1
19719-28-9,OC(=O)CC1C=CC(Cl)=CC=1Cl
26576-46-5,CC(=O)CC(=O)NC1=CC2NC(=O)NC=2C=C1
185257-07-2,CC(C#N)N(CC#N)CC#N
50998-13-5,CC(=O)NC1C(OC(O)(CC1O)C(=O)OC)C(O)C(O)CO
167374-38-1,CC1C=C(OCC2=CC=CC=C2C(=NOC)C(=O)OC)C(C)=CC=1
74441-06-8,NC1C=CC(=CC=1)C(O)=NC1C=CC(=CC=1)C(N)=O
286938-65-6,CCCCCCCCCCCCCC[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C
2436-90-0,CC(CCC=C(C)C)C=C
98730-04-2,CC1COC2C=CC=CC=2N1C(=O)C(Cl)Cl
104-61-0,CCCCCC1CCC(=O)O1
121315-20-6,NC1C=C(C=CC=1)C(=O)NCCS(=O)(=O)CCOS(O)(=O)=O
1637294-12-2,CC1C=C(CC(C)C)C=CC=1CCC=O
256-96-2,C1=CC2=CC=CC=C2NC2=CC=CC=C21
1115-30-6,CC(=O)C(CC(=O)OCC)C(=O)OCC
6448-95-9,CC1=CC=C(C=C1N=NC1=C(O)C(=CC2=CC=CC=C21)C(=O)NC1C=CC=CC=1)[N+]([O-])=O
67014-36-2,CC1=CC2N=C(O)NC=2C=C1N
6331-96-0,NC1C=C(Cl)C(Cl)=CC=1S(O)(=O)=O
80-04-6,CC(C)(C1CCC(O)CC1)C1CCC(O)CC1
623-53-0,COC(=O)OCC
20846-91-7,OC(=O)CC(NCCNC(CC(O)=O)C(O)=O)C(O)=O
119-84-6,O=C1CCC2C=CC=CC=2O1
51181-50-1,OCCN(CC(O)=O)CCN(CC(O)=O)CC(O)=O
112-75-4,CCCCCCCCCCCCCCN(C)C
105-99-7,CCCCOC(=O)CCCCC(=O)OCCCC
757-86-8,COC(=O)CSP(=S)(OC)OC
1592-23-0,CCCCCCCCCCCCCCCCCC(O)=O
615-16-7,OC1NC2=CC=CC=C2N=1
2873-97-4,CC(=O)CC(C)(C)NC(=O)C=C
765-12-8,C=COCCOCCOCCOC=C
2146-71-6,CCCCCCCCCCCC(=O)OC=C
790240-84-5,CCN(CCCNC1N=C(NC2C=CC3=C(C=C(C(N=NC4=CC=C5NC(=O)NC5=C4)=C3O)S(O)(=O)=O)C=2)N=C(NCCCN(CC)CC)N=1)CC
